S.No.,"CITY 1","CITY 2","PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2"
1,AGARTALA,CHENNAI,885,766
2,AGARTALA,VISAKHAPATNAM,119,0
3,"AGATTI ISLAND",KOCHI,1050,1412
4,AHMEDABAD,BENGALURU,34072,30991
5,AHMEDABAD,CHENNAI,19977,17955
6,AHMEDABAD,COIMBATORE,775,896
7,AHMEDABAD,DELHI,95277,91907
8,AHMEDABAD,GOA,15244,15484
9,AHMEDABAD,GUWAHATI,1427,1275
10,AHMEDABAD,HYDERABAD,20691,18898
11,AHMEDABAD,IMPHAL,0,5
12,AHMEDABAD,JAIPUR,13462,12048
13,AHMEDABAD,KOCHI,6965,6744
14,AHMEDABAD,KOLKATA,16129,15340
15,AHMEDABAD,LUCKNOW,5155,4651
16,AHMEDABAD,MUMBAI,98873,81642
17,AHMEDABAD,NAGPUR,557,610
18,AHMEDABAD,PUNE,18326,17561
19,AHMEDABAD,TRIVANDRUM,292,352
20,AHMEDABAD,VISAKHAPATNAM,513,455
21,AIZAWL,AHMEDABAD,17,13
22,AIZAWL,DELHI,842,797
23,AIZAWL,GUWAHATI,4147,3577
24,AIZAWL,IMPHAL,188,230
25,AIZAWL,KOLKATA,5735,6724
26,AIZAWL,MUMBAI,247,301
27,AMRITSAR,BAGDOGRA,0,29
28,AMRITSAR,BENGALURU,181,97
29,AMRITSAR,CHENNAI,137,420
30,AMRITSAR,DELHI,41107,33953
31,AMRITSAR,JAMMU,140,230
32,AMRITSAR,MUMBAI,14101,13416
33,AMRITSAR,SRINAGAR,3670,4642
34,BAGDOGRA,CHENNAI,864,1121
35,BAGDOGRA,LUCKNOW,0,95
36,BAGDOGRA,RANCHI,0,9
37,BELGAUM,JABALPUR,26,23
38,BENGALURU,AGARTALA,497,796
39,BENGALURU,BAGDOGRA,3052,3310
40,BENGALURU,BELGAUM,2115,2086
41,BENGALURU,CHANDIGARH,15315,16267
42,BENGALURU,CHENNAI,40658,43311
43,BENGALURU,COIMBATORE,5742,6390
44,BENGALURU,"DEHRA DUN",447,652
45,BENGALURU,DELHI,167769,190445
46,BENGALURU,GOA,32876,36659
47,BENGALURU,GUWAHATI,19261,19755
48,BENGALURU,HUBLI,1024,1096
49,BENGALURU,HYDERABAD,72935,78089
50,BENGALURU,IMPHAL,1066,1212
51,BENGALURU,INDORE,4621,5014
52,BENGALURU,JAIPUR,21237,22133
53,BENGALURU,JODHPUR,151,260
54,BENGALURU,JORHAT,166,228
