S.No.,"CITY 1","CITY 2","PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2"
1,AGRA,DELHI,0,57
2,AGRA,KHAJURAHO,94,0
3,AGRA,VARANASI,0,410
4,"AGATTI ISLAND",KOCHI,863,956
5,AIZAWL,AHMEDABAD,35,37
6,AIZAWL,MUMBAI,203,178
7,AIZAWL,KOLKATA,6591,6545
8,AIZAWL,DELHI,701,604
9,AIZAWL,GUWAHATI,4252,3804
10,AIZAWL,IMPHAL,245,260
11,AHMEDABAD,BHUBANESWAR,110,0
12,AHMEDABAD,BENGALURU,23688,26809
13,AHMEDABAD,MUMBAI,80650,81013
14,AHMEDABAD,KOLKATA,15379,15419
15,AHMEDABAD,COIMBATORE,566,723
16,AHMEDABAD,KOCHI,4729,5451
17,AHMEDABAD,DELHI,86313,89297
18,AHMEDABAD,GUWAHATI,670,747
19,AHMEDABAD,GOA,12250,13363
20,AHMEDABAD,HYDERABAD,16270,17570
21,AHMEDABAD,INDORE,1041,959
22,AHMEDABAD,IMPHAL,0,45
23,AHMEDABAD,RANCHI,0,100
24,AHMEDABAD,JAIPUR,12599,10493
25,AHMEDABAD,LUCKNOW,4070,4043
26,AHMEDABAD,CHENNAI,18945,19588
27,AHMEDABAD,NAGPUR,459,366
28,AHMEDABAD,PATNA,0,33
29,AHMEDABAD,PUNE,19741,21166
30,AHMEDABAD,TRIVANDRUM,322,397
31,AHMEDABAD,VISAKHAPATNAM,422,438
32,AMRITSAR,BENGALURU,446,816
33,AMRITSAR,MUMBAI,12049,12829
34,AMRITSAR,COIMBATORE,0,184
35,AMRITSAR,DELHI,42903,51223
36,AMRITSAR,BAGDOGRA,0,184
37,AMRITSAR,JAMMU,229,370
38,AMRITSAR,CHENNAI,270,338
39,AMRITSAR,PUNE,160,385
40,BHUBANESWAR,BENGALURU,19763,22328
41,BHUBANESWAR,MUMBAI,17856,17688
42,BHUBANESWAR,KOLKATA,24452,22444
43,BHUBANESWAR,COIMBATORE,306,212
44,BHUBANESWAR,DELHI,37300,36876
45,BHUBANESWAR,HYDERABAD,12782,13099
46,BHUBANESWAR,INDORE,231,0
47,BHUBANESWAR,CHENNAI,2102,1673
48,BHUBANESWAR,VISAKHAPATNAM,772,1578
49,VADODARA,BENGALURU,103,115
50,VADODARA,MUMBAI,22793,19953
51,VADODARA,DELHI,11959,11875
52,VADODARA,HYDERABAD,528,537
53,VADODARA,MANGALORE,95,0
54,VADODARA,LUCKNOW,292,258
55,VADODARA,CHENNAI,315,468
56,BHUJ,MUMBAI,6572,6719
57,BHUJ,DELHI,207,241
58,BHOPAL,MUMBAI,11767,10214
59,BHOPAL,DELHI,13624,13145
60,BHOPAL,HYDERABAD,136,62
61,BHOPAL,JABALPUR,48,0
62,BHOPAL,LUCKNOW,1328,1603
63,BHOPAL,RAIPUR,580,982
64,BHAVNAGAR,MUMBAI,989,1021
65,BIKANER,DELHI,268,311
66,BENGALURU,MUMBAI,149687,136750
67,BENGALURU,KOZHIKODE,3397,3291
68,BENGALURU,KOLKATA,74010,61528
69,BENGALURU,COIMBATORE,5884,6304
70,BENGALURU,KOCHI,40143,40584
71,BENGALURU,"DEHRA DUN",938,664
72,BENGALURU,DELHI,182580,169772
73,BENGALURU,GUWAHATI,17192,15391
74,BENGALURU,GOA,33928,31283
75,BENGALURU,HUBLI,1793,1778
76,BENGALURU,HYDERABAD,84144,82599
77,BENGALURU,INDORE,4346,4428
78,BENGALURU,IMPHAL,813,788
79,BENGALURU,AGARTALA,825,483
80,BENGALURU,BAGDOGRA,1272,897
81,BENGALURU,CHANDIGARH,13092,10592
82,BENGALURU,MANGALORE,22825,23410
83,BENGALURU,BELGAUM,2242,2127
84,BENGALURU,MADURAI,1146,1347
85,BENGALURU,RANCHI,7021,11236
86,BENGALURU,"PORT BLAIR",1751,1276
87,BENGALURU,JAIPUR,21346,18139
88,BENGALURU,JODHPUR,425,328
89,BENGALURU,JORHAT,159,180
90,BENGALURU,LUCKNOW,11206,7766
91,BENGALURU,CHENNAI,43417,44209
92,BENGALURU,NAGPUR,7649,7635
93,BENGALURU,PATNA,18618,10486
94,BENGALURU,PUNE,66045,63031
95,BENGALURU,RAJAHMUNDRY,999,990
96,BENGALURU,RAIPUR,2773,1446
97,BENGALURU,SRINAGAR,1100,876
98,BENGALURU,TRIVANDRUM,21050,21214
99,BENGALURU,UDAIPUR,458,222
100,BENGALURU,VIJAYAWADA,7880,7807
101,BENGALURU,VARANASI,6100,4956
102,BENGALURU,VISAKHAPATNAM,19559,18532
103,MUMBAI,KOZHIKODE,11591,15263
104,MUMBAI,KOLKATA,75521,70805
105,MUMBAI,COIMBATORE,18865,20863
106,MUMBAI,KOCHI,47250,52962
107,MUMBAI,"DEHRA DUN",4910,4518
108,MUMBAI,DELHI,271363,268473
109,MUMBAI,DIU,705,545
110,MUMBAI,GUWAHATI,8899,9321
111,MUMBAI,GOA,95935,98586
112,MUMBAI,HYDERABAD,89049,97518
113,MUMBAI,INDORE,26505,28423
114,MUMBAI,BAGDOGRA,1960,1393
115,MUMBAI,CHANDIGARH,27900,24725
116,MUMBAI,MANGALORE,22980,29494
117,MUMBAI,BELGAUM,1948,2047
118,MUMBAI,JAMMU,7822,1351
119,MUMBAI,LEH,2960,0
120,MUMBAI,MADURAI,4872,5241
121,MUMBAI,RANCHI,1245,8210
122,MUMBAI,AURANGABAD,7299,8491
123,MUMBAI,KANDLA,2254,2169
124,MUMBAI,JAIPUR,39350,38921
125,MUMBAI,JODHPUR,8466,8129
126,MUMBAI,JAMNAGAR,2537,2374
127,MUMBAI,JABALPUR,2257,2224
128,MUMBAI,LUCKNOW,28195,26150
129,MUMBAI,CHENNAI,92575,105233
130,MUMBAI,NAGPUR,27475,28411
131,MUMBAI,PATNA,16027,6814
132,MUMBAI,PORBANDAR,2050,1936
133,MUMBAI,PUNE,2118,3076
134,MUMBAI,RAJKOT,10814,10212
135,MUMBAI,RAIPUR,17078,17297
136,MUMBAI,SURAT,2499,2824
137,MUMBAI,SRINAGAR,845,12481
138,MUMBAI,TIRUPATI,367,412
139,MUMBAI,TRIVANDRUM,11331,12897
140,MUMBAI,UDAIPUR,20067,19599
141,MUMBAI,VARANASI,19172,17910
142,MUMBAI,VISAKHAPATNAM,7173,8989
143,BHATINDA,DELHI,578,699
144,KOZHIKODE,KOCHI,396,353
145,KOZHIKODE,DELHI,614,660
146,KOZHIKODE,CHENNAI,1877,1905
147,KOZHIKODE,TRIVANDRUM,1967,1391
148,KOLKATA,COIMBATORE,808,802
149,KOLKATA,KOCHI,918,464
150,KOLKATA,DELHI,120931,124480
151,KOLKATA,DIBRUGARH,7772,7175
152,KOLKATA,DIMAPUR,6379,7636
153,KOLKATA,GUWAHATI,57541,54839
154,KOLKATA,GAYA,92,244
155,KOLKATA,GOA,4890,4195
156,KOLKATA,GORAKHPUR,1989,1994
157,KOLKATA,HYDERABAD,26682,31251
158,KOLKATA,INDORE,2232,2349
159,KOLKATA,IMPHAL,13227,12531
160,KOLKATA,AGARTALA,44362,38740
161,KOLKATA,BAGDOGRA,36841,35275
162,KOLKATA,CHANDIGARH,671,309
163,KOLKATA,MANGALORE,132,0
164,KOLKATA,RANCHI,16056,15251
165,KOLKATA,SILCHAR,10652,10119
166,KOLKATA,"PORT BLAIR",23339,22819
167,KOLKATA,JAIPUR,22790,22596
168,KOLKATA,JORHAT,1229,1250
169,KOLKATA,LUCKNOW,9532,8338
170,KOLKATA,CHENNAI,44235,45182
171,KOLKATA,NAGPUR,4157,4175
172,KOLKATA,PATNA,13920,15494
173,KOLKATA,PUNE,19767,22983
174,KOLKATA,RAIPUR,5606,6284
175,KOLKATA,SHILLONG,643,547
176,KOLKATA,SURAT,3917,4099
177,KOLKATA,SRINAGAR,0,267
178,KOLKATA,TRIVANDRUM,691,636
179,KOLKATA,VARANASI,2688,3668
180,KOLKATA,VISAKHAPATNAM,6883,8710
181,CUDDAPAH,HYDERABAD,1255,1320
182,COIMBATORE,DELHI,12826,10629
183,COIMBATORE,HYDERABAD,5138,5060
184,COIMBATORE,AGARTALA,123,66
185,COIMBATORE,MANGALORE,0,1
186,COIMBATORE,JAIPUR,0,14
187,COIMBATORE,CHENNAI,35291,35299
188,COIMBATORE,PUNE,2431,2559
189,COIMBATORE,VISAKHAPATNAM,325,385
190,KOCHI,DELHI,43638,39896
191,KOCHI,HYDERABAD,28435,29339
192,KOCHI,INDORE,0,34
193,KOCHI,"PORT BLAIR",638,0
194,KOCHI,CHENNAI,20580,22348
195,KOCHI,PUNE,8352,8192
196,KOCHI,RAIPUR,0,30
197,KOCHI,TRIVANDRUM,4499,3820
198,"DEHRA DUN",DELHI,31774,33525
199,"DEHRA DUN",HYDERABAD,541,394
200,"DEHRA DUN",CHANDIGARH,13,16
201,"DEHRA DUN",JAMMU,1329,1307
202,"DEHRA DUN",JAIPUR,235,201
203,"DEHRA DUN",LUCKNOW,1307,1571
204,"DEHRA DUN",CHENNAI,547,0
205,"DEHRA DUN",SRINAGAR,905,1952
206,DELHI,DHARAMSALA,6926,6071
207,DELHI,DIBRUGARH,5109,2584
208,DELHI,DIMAPUR,1669,0
209,DELHI,GUWAHATI,58617,57962
210,DELHI,GAYA,2523,1978
211,DELHI,GOA,66316,66471
212,DELHI,GORAKHPUR,4241,4135
213,DELHI,GWALIOR,1014,801
214,DELHI,KHAJURAHO,257,224
215,DELHI,HYDERABAD,93644,100815
