S.No.,"CITY 1","CITY 2","PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2"
1,AGARTALA,CHENNAI,1260,1068
2,AGARTALA,PUNE,136,0
3,AGARTALA,VISAKHAPATNAM,91,0
4,"AGATTI ISLAND",KOCHI,1035,1167
5,AGRA,DELHI,0,55
6,AGRA,KHAJURAHO,273,0
7,AGRA,VARANASI,0,927
8,AHMEDABAD,BENGALURU,38957,36953
9,AHMEDABAD,BHUBANESWAR,236,0
10,AHMEDABAD,CHENNAI,21051,19559
11,AHMEDABAD,COIMBATORE,813,905
12,AHMEDABAD,DELHI,105500,96905
13,AHMEDABAD,GOA,13641,14421
14,AHMEDABAD,GUWAHATI,1155,781
15,AHMEDABAD,HYDERABAD,19252,17868
16,AHMEDABAD,IMPHAL,0,55
17,AHMEDABAD,INDORE,1207,1049
18,AHMEDABAD,JAIPUR,13218,10460
19,AHMEDABAD,KOCHI,6243,6398
20,AHMEDABAD,KOLKATA,19859,17505
21,AHMEDABAD,LUCKNOW,5448,4491
22,AHMEDABAD,MANGALORE,4,58
23,AHMEDABAD,MUMBAI,90379,89178
24,AHMEDABAD,NAGPUR,283,267
25,AHMEDABAD,PUNE,21675,22897
26,AHMEDABAD,TRIVANDRUM,792,854
27,AHMEDABAD,VISAKHAPATNAM,451,439
28,AIZAWL,AHMEDABAD,39,28
29,AIZAWL,DELHI,916,648
30,AIZAWL,GUWAHATI,3509,2945
31,AIZAWL,IMPHAL,320,217
32,AIZAWL,KOLKATA,6304,6034
33,AIZAWL,MUMBAI,174,248
34,AMRITSAR,BAGDOGRA,0,81
35,AMRITSAR,BENGALURU,2612,2502
36,AMRITSAR,CHENNAI,279,272
37,AMRITSAR,COIMBATORE,0,75
38,AMRITSAR,DELHI,54746,58800
39,AMRITSAR,GOA,0,35
40,AMRITSAR,JAMMU,309,420
41,AMRITSAR,KOLKATA,41,38
42,AMRITSAR,MUMBAI,14359,15017
43,AMRITSAR,PUNE,615,894
44,AMRITSAR,SRINAGAR,2368,3084
45,BAGDOGRA,CHENNAI,1311,1646
46,BAGDOGRA,RANCHI,0,17
47,BELGAUM,CHENNAI,1645,1604
48,BELGAUM,JABALPUR,16,11
49,BENGALURU,AGARTALA,474,901
50,BENGALURU,BAGDOGRA,1231,1029
51,BENGALURU,BELGAUM,3726,3789
52,BENGALURU,CHANDIGARH,9815,9307
53,BENGALURU,CHENNAI,41829,42164
54,BENGALURU,COIMBATORE,7155,7026
55,BENGALURU,"DEHRA DUN",1553,1679
56,BENGALURU,DELHI,186427,185120
57,BENGALURU,GOA,37302,39446
58,BENGALURU,GUWAHATI,16038,15413
59,BENGALURU,HUBLI,1689,1883
60,BENGALURU,HYDERABAD,92816,96495
61,BENGALURU,IMPHAL,657,634
62,BENGALURU,INDORE,4844,5158
63,BENGALURU,JAIPUR,23183,21038
64,BENGALURU,JAMMU,0,1
65,BENGALURU,JODHPUR,268,533
66,BENGALURU,KOCHI,44408,46537
67,BENGALURU,KOLKATA,71342,72811
68,BENGALURU,KOZHIKODE,3196,3123
69,BENGALURU,LUCKNOW,10801,10878
70,BENGALURU,MADURAI,3031,2908
71,BENGALURU,MANGALORE,24886,25665
72,BENGALURU,MUMBAI,144824,150084
73,BENGALURU,NAGPUR,8065,8635
74,BENGALURU,PATNA,22380,13353
75,BENGALURU,"PORT BLAIR",3976,4059
76,BENGALURU,PUNE,67245,70343
77,BENGALURU,RAIPUR,2316,1505
78,BENGALURU,RANCHI,11284,16650
