S.No.,"CITY 1","CITY 2","PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2"
1,AGARTALA,CHENNAI,397,548
2,AGARTALA,VISAKHAPATNAM,11,0
3,"AGATTI ISLAND",KOCHI,411,465
4,AHMEDABAD,BENGALURU,18536,18791
5,AHMEDABAD,CHENNAI,13234,13644
6,AHMEDABAD,COIMBATORE,764,0
7,AHMEDABAD,DELHI,74196,75662
8,AHMEDABAD,GOA,3587,3554
9,AHMEDABAD,GUWAHATI,391,287
10,AHMEDABAD,HYDERABAD,18698,18447
11,AHMEDABAD,JAIPUR,3258,3368
12,AHMEDABAD,KOCHI,1414,1381
13,AHMEDABAD,KOLKATA,10772,10658
14,AHMEDABAD,MUMBAI,91865,89163
15,AHMEDABAD,PUNE,14900,14952
16,AHMEDABAD,VISAKHAPATNAM,476,676
17,AIZAWL,AHMEDABAD,0,12
18,AIZAWL,DELHI,563,453
19,AIZAWL,GUWAHATI,2254,1823
20,AIZAWL,IMPHAL,450,484
21,AIZAWL,KOLKATA,4176,3826
22,AMRITSAR,BENGALURU,160,128
23,AMRITSAR,CHENNAI,121,141
24,AMRITSAR,DELHI,30803,32979
25,AMRITSAR,MUMBAI,5595,5895
26,AMRITSAR,SRINAGAR,2487,5082
27,BAGDOGRA,CHENNAI,2148,2425
28,BELGAUM,JABALPUR,15,19
29,BENGALURU,AGARTALA,549,498
30,BENGALURU,BAGDOGRA,1012,978
31,BENGALURU,BELGAUM,2267,2284
32,BENGALURU,CHANDIGARH,10204,10086
33,BENGALURU,CHENNAI,47427,49904
34,BENGALURU,COIMBATORE,10162,10680
35,BENGALURU,"DEHRA DUN",306,362
36,BENGALURU,DELHI,171584,172947
37,BENGALURU,GOA,30681,30352
38,BENGALURU,GUWAHATI,7670,7688
39,BENGALURU,HUBLI,486,532
40,BENGALURU,HYDERABAD,63234,62278
41,BENGALURU,IMPHAL,80,1464
42,BENGALURU,INDORE,1371,1818
43,BENGALURU,JAIPUR,21521,20188
44,BENGALURU,JODHPUR,318,296
45,BENGALURU,JORHAT,83,115
46,BENGALURU,KOCHI,27769,28599
47,BENGALURU,KOLKATA,55219,55111
48,BENGALURU,KOZHIKODE,1906,1872
49,BENGALURU,LUCKNOW,9870,9472
50,BENGALURU,MADURAI,1634,1776
51,BENGALURU,MANGALORE,15158,14789
52,BENGALURU,MUMBAI,153249,147310
53,BENGALURU,NAGPUR,4586,4732
54,BENGALURU,PATNA,6771,1688
55,BENGALURU,PUNE,59584,60655
56,BENGALURU,RAIPUR,2430,2457
57,BENGALURU,RAJKOT,228,155
58,BENGALURU,RANCHI,2640,6791
59,BENGALURU,SRINAGAR,170,271
60,BENGALURU,TRIVANDRUM,20170,20992
61,BENGALURU,VARANASI,3009,3385
62,BENGALURU,VIJAYAWADA,5969,6276
63,BENGALURU,VISAKHAPATNAM,21551,21785
64,BHAVNAGAR,MUMBAI,767,766
65,BHOPAL,DELHI,13189,12502
66,BHOPAL,HYDERABAD,236,237
67,BHOPAL,JABALPUR,544,703
68,BHOPAL,MUMBAI,16055,13249
69,BHOPAL,RAIPUR,802,1623
70,BHUBANESWAR,BENGALURU,7769,7794
71,BHUBANESWAR,CHENNAI,1970,1825
72,BHUBANESWAR,COIMBATORE,314,285
73,BHUBANESWAR,DELHI,28957,28654
74,BHUBANESWAR,HYDERABAD,6687,6124
75,BHUBANESWAR,KOLKATA,11370,10354
76,BHUBANESWAR,MUMBAI,18012,17200
77,BHUBANESWAR,VARANASI,1277,1408
78,BHUBANESWAR,VISAKHAPATNAM,634,739
79,BHUJ,DELHI,299,274
80,BHUJ,MUMBAI,7318,6820
81,CHANDIGARH,CHENNAI,503,387
82,CHANDIGARH,SRINAGAR,3663,5778
83,CHENNAI,PUNE,37309,38857
84,CHENNAI,RAIPUR,1225,1280
85,CHENNAI,RAJAHMUNDRY,1262,1536
86,CHENNAI,SRINAGAR,33,58
87,CHENNAI,TIRUCHIRAPALLY,7640,8351
88,CHENNAI,TRIVANDRUM,15007,16117
89,CHENNAI,TUTICORIN,4485,4358
90,CHENNAI,VIJAYAWADA,3012,3077
