S.No.,"CITY 1","CITY 2","PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2"
1,AGARTALA,CHENNAI,384,809
2,AGARTALA,VISAKHAPATNAM,39,0
3,"AGATTI ISLAND",KOCHI,1473,0
4,AGRA,DELHI,0,66
5,AGRA,KHAJURAHO,254,0
6,AGRA,VARANASI,0,923
7,AHMEDABAD,BENGALURU,21873,21287
8,AHMEDABAD,CHENNAI,12661,12479
9,AHMEDABAD,COIMBATORE,834,0
10,AHMEDABAD,DELHI,77542,66220
11,AHMEDABAD,GOA,6324,5874
12,AHMEDABAD,GUWAHATI,762,228
13,AHMEDABAD,HYDERABAD,18536,16662
14,AHMEDABAD,JAIPUR,3283,2948
15,AHMEDABAD,KOCHI,1690,1094
16,AHMEDABAD,KOLKATA,14357,11473
17,AHMEDABAD,LUCKNOW,0,6
18,AHMEDABAD,MUMBAI,81746,81324
19,AHMEDABAD,PUNE,15701,16567
20,AHMEDABAD,VISAKHAPATNAM,363,761
21,AIZAWL,AHMEDABAD,0,10
22,AIZAWL,DELHI,365,408
23,AIZAWL,GUWAHATI,3725,2959
24,AIZAWL,IMPHAL,534,591
25,AIZAWL,KOLKATA,5385,4679
26,AMRITSAR,BENGALURU,236,314
27,AMRITSAR,CHENNAI,168,378
28,AMRITSAR,DELHI,30596,39810
29,AMRITSAR,MUMBAI,4827,6412
30,AMRITSAR,SRINAGAR,4272,5261
31,BAGDOGRA,CHENNAI,1111,1131
32,BELGAUM,JABALPUR,17,31
33,BENGALURU,AGARTALA,622,499
34,BENGALURU,BAGDOGRA,507,341
35,BENGALURU,BELGAUM,2304,2085
36,BENGALURU,CHANDIGARH,14043,11387
37,BENGALURU,CHENNAI,48933,48139
38,BENGALURU,COIMBATORE,6513,6096
39,BENGALURU,"DEHRA DUN",416,400
40,BENGALURU,DELHI,185858,162145
41,BENGALURU,GOA,37106,36176
42,BENGALURU,GUWAHATI,14023,12025
43,BENGALURU,HUBLI,632,672
44,BENGALURU,HYDERABAD,76304,71605
45,BENGALURU,IMPHAL,529,633
46,BENGALURU,INDORE,1641,1855
47,BENGALURU,JAIPUR,23992,19126
48,BENGALURU,JODHPUR,324,414
49,BENGALURU,JORHAT,123,86
50,BENGALURU,KOCHI,34463,32672
51,BENGALURU,KOLKATA,75994,63818
52,BENGALURU,KOZHIKODE,2010,1881
53,BENGALURU,LUCKNOW,15118,11626
54,BENGALURU,MADURAI,1571,1351
55,BENGALURU,MANGALORE,14307,13048
56,BENGALURU,MUMBAI,141348,142814
57,BENGALURU,NAGPUR,6645,5968
58,BENGALURU,PATNA,9592,1939
59,BENGALURU,"PORT BLAIR",3616,3498
60,BENGALURU,PUNE,58632,60917
61,BENGALURU,RAIPUR,2535,1872
62,BENGALURU,RAJAHMUNDRY,970,829
63,BENGALURU,RAJKOT,283,158
64,BENGALURU,RANCHI,3319,6882
65,BENGALURU,SRINAGAR,197,280
66,BENGALURU,TRIVANDRUM,21440,20887
67,BENGALURU,VARANASI,5250,3147
68,BENGALURU,VIJAYAWADA,8521,7883
69,BENGALURU,VISAKHAPATNAM,24732,22223
70,BHAVNAGAR,MUMBAI,702,753
71,BHOPAL,DELHI,11971,12239
72,BHOPAL,HYDERABAD,174,256
73,BHOPAL,JABALPUR,1193,0
74,BHOPAL,MUMBAI,12898,13666
75,BHOPAL,RAIPUR,1154,1012
76,BHUBANESWAR,BENGALURU,11930,14917
77,BHUBANESWAR,CHENNAI,2232,1663
78,BHUBANESWAR,COIMBATORE,435,405
79,BHUBANESWAR,DELHI,33729,37107
80,BHUBANESWAR,HYDERABAD,7331,7883
81,BHUBANESWAR,KOLKATA,17823,16052
82,BHUBANESWAR,MUMBAI,17139,21209
83,BHUBANESWAR,VARANASI,1210,1083
84,BHUBANESWAR,VISAKHAPATNAM,811,1258
85,BHUJ,DELHI,410,311
86,BHUJ,MUMBAI,6880,7042
87,CHANDIGARH,CHENNAI,535,548
88,CHANDIGARH,SRINAGAR,4493,4817
89,CHENNAI,PUNE,31513,37510
90,CHENNAI,RAIPUR,1278,1188
91,CHENNAI,RAJAHMUNDRY,1356,1615
92,CHENNAI,TIRUCHIRAPALLY,6970,7634
93,CHENNAI,TRIVANDRUM,12800,14235
94,CHENNAI,TUTICORIN,4440,4376
95,CHENNAI,VIJAYAWADA,4311,4181
96,CHENNAI,VISAKHAPATNAM,14604,13131
97,COIMBATORE,AGARTALA,41,37
98,COIMBATORE,CHENNAI,31687,31561
99,COIMBATORE,DELHI,9863,9414
100,COIMBATORE,HYDERABAD,11504,11436
101,COIMBATORE,TIRUPATI,4,0
102,COIMBATORE,VISAKHAPATNAM,318,268
103,CUDDAPAH,VIJAYAWADA,141,100
104,"DEHRA DUN",CHENNAI,574,0
105,"DEHRA DUN",DELHI,33434,34091
106,"DEHRA DUN",HYDERABAD,317,713
107,"DEHRA DUN",MADURAI,7,0
108,DELHI,AGARTALA,2471,2458
109,DELHI,ALLAHABAD,2459,1967
110,DELHI,AURANGABAD,2512,3091
111,DELHI,BAGDOGRA,37050,30259
112,DELHI,CHANDIGARH,30067,27813
113,DELHI,CHENNAI,91223,93916
114,DELHI,DHARAMSALA,4228,3856
115,DELHI,DIBRUGARH,3939,2238
116,DELHI,DIMAPUR,673,796
117,DELHI,GAYA,3638,2356
118,DELHI,GOA,61218,65540
119,DELHI,GORAKHPUR,3699,3229
120,DELHI,GUWAHATI,54299,57550
121,DELHI,HYDERABAD,90014,91745
122,DELHI,IMPHAL,5005,4413
123,DELHI,INDORE,21331,22074
124,DELHI,JABALPUR,4203,3925
125,DELHI,JAIPUR,34145,31834
126,DELHI,JAMMU,32415,24714
127,DELHI,JODHPUR,5345,5049
128,DELHI,KHAJURAHO,580,687
129,DELHI,KULLU,1272,1047
130,DELHI,LEH,10679,20224
131,DELHI,LUCKNOW,92899,72719
132,DELHI,MADURAI,809,860
133,DELHI,MANGALORE,406,484
134,DELHI,NAGPUR,18063,18885
135,DELHI,PANTNAGAR,597,556
136,DELHI,PATNA,67079,53381
137,DELHI,"PORT BLAIR",2884,2613
138,DELHI,PUNE,81734,98603
139,DELHI,RAIPUR,20566,20660
140,DELHI,RAJKOT,902,1048
141,DELHI,RANCHI,31885,24924
142,DELHI,SRINAGAR,31330,47580
143,DELHI,SURAT,6055,6202
144,DELHI,TIRUPATI,1605,1360
145,DELHI,TRIVANDRUM,10021,12041
146,DELHI,UDAIPUR,19369,20365
147,DELHI,VARANASI,41217,35189
148,DELHI,VIJAYAWADA,5848,5249
149,DELHI,VISAKHAPATNAM,11751,11647
150,DIBRUGARH,DIMAPUR,6,4
151,DIBRUGARH,GUWAHATI,2661,1262
152,GAYA,VARANASI,237,0
153,GOA,CHENNAI,6558,6117
154,GOA,HYDERABAD,17355,16208
155,GOA,INDORE,3520,3134
156,GOA,LUCKNOW,1,2
157,GOA,MADURAI,5,9
158,GOA,PATNA,416,319
159,GOA,PUNE,5735,5917
160,GOA,RAIPUR,977,887
161,GOA,VARANASI,598,552
162,GUWAHATI,AGARTALA,7094,7914
163,GUWAHATI,BAGDOGRA,2816,5592
164,GUWAHATI,CHENNAI,6772,6506
165,GUWAHATI,GOA,404,532
166,GUWAHATI,HYDERABAD,350,509
167,GUWAHATI,IMPHAL,18006,17529
168,GUWAHATI,JAIPUR,662,713
169,GUWAHATI,JORHAT,322,759
170,GUWAHATI,LILABARI,0,904
171,GUWAHATI,SILCHAR,3319,3279
172,HYDERABAD,AGARTALA,150,124
173,HYDERABAD,AURANGABAD,1550,1664
174,HYDERABAD,BAGDOGRA,0,14
175,HYDERABAD,CHANDIGARH,528,785
176,HYDERABAD,CHENNAI,49907,48521
177,HYDERABAD,INDORE,4215,4204
178,HYDERABAD,JABALPUR,1311,0
179,HYDERABAD,JAIPUR,10096,9174
180,HYDERABAD,LUCKNOW,5613,3980
181,HYDERABAD,MADURAI,2340,2340
182,HYDERABAD,MANGALORE,805,757
183,HYDERABAD,NAGPUR,3177,3258
184,HYDERABAD,"PORT BLAIR",671,576
