S.No.,"CITY 1","CITY 2","PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2"
1,"AGATTI ISLAND",KOCHI,506,750
2,AHMEDABAD,BENGALURU,13007,12170
3,AHMEDABAD,BHOPAL,875,712
4,AHMEDABAD,CHENNAI,13855,12988
5,AHMEDABAD,COIMBATORE,790,1245
6,AHMEDABAD,DELHI,44645,52724
7,AHMEDABAD,DIBRUGARH,343,429
8,AHMEDABAD,GOA,4120,4576
9,AHMEDABAD,GUWAHATI,998,1025
10,AHMEDABAD,HYDERABAD,8027,7370
11,AHMEDABAD,IMPHAL,0,99
12,AHMEDABAD,INDORE,434,661
13,AHMEDABAD,JAIPUR,3341,3566
14,AHMEDABAD,KOCHI,800,1346
15,AHMEDABAD,KOLKATA,10372,12691
16,AHMEDABAD,LUCKNOW,1477,1511
17,AHMEDABAD,MUMBAI,81105,77858
18,AHMEDABAD,NAGPUR,1152,1314
19,AHMEDABAD,PUNE,6958,7358
20,AIZAWL,GUWAHATI,1582,1530
21,AIZAWL,IMPHAL,319,418
22,AIZAWL,KOLKATA,4391,4192
23,AMRITSAR,CHENNAI,345,264
24,AMRITSAR,DELHI,26157,21020
25,AMRITSAR,MUMBAI,5479,4620
26,AMRITSAR,SRINAGAR,4641,4415
27,BAGDOGRA,CHENNAI,1637,1431
28,BELGAUM,CHENNAI,982,914
29,BELGAUM,JABALPUR,2,0
30,BENGALURU,AGARTALA,1080,921
31,BENGALURU,BAGDOGRA,2486,2454
32,BENGALURU,BELGAUM,2825,2547
33,BENGALURU,CHANDIGARH,10418,11219
34,BENGALURU,CHENNAI,31719,30909
35,BENGALURU,COIMBATORE,5700,5440
36,BENGALURU,CUDDAPAH,268,389
37,BENGALURU,"DEHRA DUN",481,652
38,BENGALURU,DELHI,130835,135306
39,BENGALURU,GOA,22369,22758
40,BENGALURU,GUWAHATI,4322,4909
41,BENGALURU,HUBLI,1388,1579
42,BENGALURU,HYDERABAD,41908,41624
43,BENGALURU,IMPHAL,474,664
44,BENGALURU,INDORE,1433,2288
45,BENGALURU,JAIPUR,19709,21116
46,BENGALURU,JODHPUR,619,519
47,BENGALURU,JORHAT,133,124
48,BENGALURU,KOCHI,25247,24697
49,BENGALURU,KOLKATA,33345,33977
50,BENGALURU,KOZHIKODE,1689,1544
51,BENGALURU,LUCKNOW,5017,6189
52,BENGALURU,MADURAI,145,168
53,BENGALURU,MANGALORE,9953,11232
54,BENGALURU,MUMBAI,125043,118432
55,BENGALURU,NAGPUR,4226,3739
56,BENGALURU,PATNA,2611,3440
57,BENGALURU,PUDUCHERRY,390,381
58,BENGALURU,PUNE,45411,45342
59,BENGALURU,RAIPUR,1909,2097
60,BENGALURU,RAJAHMUNDRY,308,0
61,BENGALURU,RAJKOT,351,287
62,BENGALURU,RANCHI,2736,3048
63,BENGALURU,SRINAGAR,240,512
64,BENGALURU,TRIVANDRUM,13755,14799
65,BENGALURU,VARANASI,1908,2116
66,BENGALURU,VIJAYAWADA,4608,4449
67,BENGALURU,VISAKHAPATNAM,11152,11405
68,BHAVNAGAR,MUMBAI,1454,1384
69,BHOPAL,CHANDIGARH,0,272
70,BHOPAL,DELHI,12059,12209
71,BHOPAL,INDORE,109,0
72,BHOPAL,MUMBAI,12166,10576
73,BHOPAL,RAIPUR,0,972
74,BHUBANESWAR,BENGALURU,6573,6385
75,BHUBANESWAR,CHENNAI,1924,1778
76,BHUBANESWAR,COIMBATORE,336,318
77,BHUBANESWAR,DELHI,23017,24418
78,BHUBANESWAR,HYDERABAD,7067,6624
79,BHUBANESWAR,KOLKATA,14742,13783
80,BHUBANESWAR,MUMBAI,16109,14546
81,BHUBANESWAR,"PORT BLAIR",53,0
82,BHUBANESWAR,VISAKHAPATNAM,497,624
83,BHUJ,DELHI,266,346
84,BHUJ,MUMBAI,4759,4230
85,CHANDIGARH,CHENNAI,1330,1071
86,CHANDIGARH,SRINAGAR,8364,7506
87,CHENNAI,PUNE,27042,27614
88,CHENNAI,RAIPUR,1333,1650
89,CHENNAI,SRINAGAR,185,336
90,CHENNAI,TIRUCHIRAPALLY,6524,6931
91,CHENNAI,TRIVANDRUM,9123,9305
92,CHENNAI,TUTICORIN,4120,3811
93,CHENNAI,VIJAYAWADA,2762,2839
94,CHENNAI,VISAKHAPATNAM,5457,5393
95,COIMBATORE,CHENNAI,25957,25716
96,COIMBATORE,DELHI,11909,12074
97,COIMBATORE,HYDERABAD,5613,5167
98,"DEHRA DUN",DELHI,17378,17162
99,"DEHRA DUN",TRIVANDRUM,136,142
100,DELHI,AGARTALA,1523,1742
101,DELHI,ALLAHABAD,2411,2934
102,DELHI,AURANGABAD,3421,3929
103,DELHI,BAGDOGRA,23539,27584
104,DELHI,CHANDIGARH,18572,19748
105,DELHI,CHENNAI,82683,74883
106,DELHI,DHARAMSALA,4357,3989
107,DELHI,DIBRUGARH,4941,4571
108,DELHI,DIMAPUR,1541,1648
109,DELHI,GAYA,1093,740
110,DELHI,GOA,45409,44262
111,DELHI,GUWAHATI,34229,32483
112,DELHI,GWALIOR,169,0
113,DELHI,HYDERABAD,81092,75806
114,DELHI,IMPHAL,6488,6979
115,DELHI,INDORE,19377,18708
116,DELHI,JABALPUR,2892,2774
117,DELHI,JAIPUR,20058,19366
118,DELHI,JAMMU,31471,22139
119,DELHI,JODHPUR,4458,4156
120,DELHI,KHAJURAHO,202,222
121,DELHI,KULLU,727,539
122,DELHI,LEH,17307,18200
123,DELHI,LUCKNOW,64164,67313.0000001
124,DELHI,MANGALORE,2103,785
125,DELHI,NAGPUR,15204,12886
126,DELHI,PANTNAGAR,312,348
127,DELHI,PATNA,38357,41942
128,DELHI,"PORT BLAIR",1386,788
129,DELHI,PUNE,72794,67440
130,DELHI,RAIPUR,15073,14224
131,DELHI,RAJKOT,1660,1460
132,DELHI,RANCHI,18155,16687
133,DELHI,SRINAGAR,68668,77053
134,DELHI,SURAT,1592,1513
135,DELHI,TIRUPATI,1314,1037
136,DELHI,TRIVANDRUM,7407,9547
137,DELHI,UDAIPUR,7600,6924
138,DELHI,VARANASI,26145,28599
139,DELHI,VIJAYAWADA,3217,3000
140,DELHI,VISAKHAPATNAM,10252,8106
141,DIBRUGARH,DIMAPUR,0,2
142,DIBRUGARH,GUWAHATI,1968,1465
143,DIU,PORBANDAR,5,0
144,GAYA,VARANASI,1,0
145,GOA,CHENNAI,4793,3421
146,GOA,HYDERABAD,6608,6343
147,GOA,INDORE,941,617
148,GOA,JAIPUR,0,159
149,GOA,LUCKNOW,40,94
150,GOA,PATNA,175,265
151,GOA,PUNE,3295,3150
152,GOA,SRINAGAR,112,52
153,GUWAHATI,AGARTALA,7630,7660
154,GUWAHATI,BAGDOGRA,3732,1438
155,GUWAHATI,CHENNAI,3689,3755
156,GUWAHATI,GOA,227,282
157,GUWAHATI,HYDERABAD,994,1059
158,GUWAHATI,IMPHAL,8853,10733
159,GUWAHATI,JAIPUR,1648,1426
160,GUWAHATI,JORHAT,270,300
161,GUWAHATI,LILABARI,136,344
162,GUWAHATI,SILCHAR,2525,2504
163,HYDERABAD,AGARTALA,319,251
164,HYDERABAD,CHANDIGARH,1000,1073
165,HYDERABAD,CHENNAI,37059,36561
166,HYDERABAD,INDORE,4200,4445
167,HYDERABAD,JAIPUR,3838,4851
168,HYDERABAD,LUCKNOW,4227,5343
169,HYDERABAD,MADURAI,2090,2299
170,HYDERABAD,MANGALORE,795,208
171,HYDERABAD,PUNE,10232,9708
172,HYDERABAD,RAIPUR,5569,5445
173,HYDERABAD,RAJAHMUNDRY,4805,4695
174,HYDERABAD,TIRUPATI,10940,10355
175,HYDERABAD,TRIVANDRUM,1632,2452
176,HYDERABAD,VARANASI,1691,1693
177,HYDERABAD,VIJAYAWADA,5209,5532
178,HYDERABAD,VISAKHAPATNAM,23864,23359
179,IMPHAL,AGARTALA,1134,1018
180,IMPHAL,PUNE,0,178
181,INDORE,CHENNAI,724,759
182,INDORE,JAIPUR,0,233
183,INDORE,LUCKNOW,247,165
184,INDORE,NAGPUR,1322,1355
185,INDORE,PUNE,3239,3177
186,INDORE,RAIPUR,3297,2828
187,INDORE,SRINAGAR,337,326
188,JAIPUR,CHENNAI,2685,2656
189,JAIPUR,PUNE,5127,4516
190,JAMMU,LEH,1006,1045
191,JAMMU,SRINAGAR,18261,13267
192,KHAJURAHO,VARANASI,370,108
193,KOCHI,CHENNAI,17428,16619
194,KOCHI,DELHI,20901,21430
195,KOCHI,HYDERABAD,11501,10125
196,KOCHI,PUNE,4529,3824
197,KOCHI,TRIVANDRUM,1758,1891
198,KOLKATA,AGARTALA,23344,22566
199,KOLKATA,BAGDOGRA,15240,16940
200,KOLKATA,CHENNAI,26658,24552
201,KOLKATA,COIMBATORE,1133,1485
202,KOLKATA,DELHI,79220,82389
203,KOLKATA,DIBRUGARH,6311,6529
204,KOLKATA,DIMAPUR,2812,3271
205,KOLKATA,DURGAPUR,96,182
206,KOLKATA,GOA,3017,2601
207,KOLKATA,GUWAHATI,31831,34754
208,KOLKATA,HYDERABAD,16012,14459
209,KOLKATA,IMPHAL,8582,10497
210,KOLKATA,INDORE,1391,1292
211,KOLKATA,JAIPUR,6259,7421
212,KOLKATA,JORHAT,1544,1599
213,KOLKATA,KOCHI,1194,1729
214,KOLKATA,LUCKNOW,4344,4288
215,KOLKATA,NAGPUR,7911,6850
216,KOLKATA,PATNA,7838,9300
217,KOLKATA,"PORT BLAIR",13813,11974
218,KOLKATA,PUNE,7759,6977
219,KOLKATA,RAIPUR,3570,3494
220,KOLKATA,RANCHI,4420,4420
221,KOLKATA,SHILLONG,592,631
222,KOLKATA,SILCHAR,5479,5749
223,KOLKATA,TRIVANDRUM,1044,1429
224,KOLKATA,VISAKHAPATNAM,2043,1781
225,KOZHIKODE,CHENNAI,1595,1621
226,KOZHIKODE,COIMBATORE,126,117
227,KOZHIKODE,DELHI,2206,1854
228,KOZHIKODE,KOCHI,255,204
229,KOZHIKODE,TRIVANDRUM,287,138
230,LEH,SRINAGAR,460,372
