latitude_deg,longitude_deg,municipality
28.5665,77.103104,New Delhi
19.0886993408,72.8678970337,Mumbai
12.990005,80.169296,Chennai
13.1979,77.706299,Bangalore
15.3808002472,73.8313980103,Vasco da Gama
22.6546993255615,88.4467010498047,Kolkata
10.152,76.401901,Kochi
17.231318,78.429855,Hyderabad
8.48211956024,76.9200973511,Thiruvananthapuram
23.0771999359,72.6346969604,Ahmedabad
26.8242,75.812202,Jaipur
12.9499998093,77.6681976318,Bangalore
18.5820999145508,73.9197006225586,Pune
31.7096004486,74.7973022461,Amritsar
12.9612998962,74.8900985718,Mangalore
22.336201,73.226303,Vadodara
11.1367998123,75.9552993774,Calicut
11.029999733,77.0434036255,Coimbatore
26.1061000823975,91.5858993530273,Guwahati
17.4531002045,78.4675979614,Hyderabad
17.721201,83.224503,Visakhapatnam
25.591299057,85.0879974365,Patna
25.4524,82.859299,Varanasi
20.2444000244,85.8178024292,Bhubaneswar
22.7217998505,75.8011016846,Indore
26.2511005401611,73.0488967895508,Jodhpur
30.6735000610352,76.7884979248047,Chandigarh
9.83450984955,78.0933990479,Madurai
26.6812000274658,88.3285980224609,Siliguri
26.7605991364,80.8892974854,Lucknow
21.1140995026,72.7417984009,
19.0981006622314,72.8341979980469,Mumbai
11.6412000656128,92.7296981811523,Port Blair
21.092199,79.047203,Nagpur
24.6177005768,73.8961029053,Udaipur
23.3143005371,85.3217010498,Ranchi
21.180401,81.7388,Raipur
33.9870986938477,74.7742004394531,Srinagar
19.862699508667,75.3981018066406,Aurangabad
23.2877998352,69.6701965332,Bhuj
23.8869991302,91.2404022217,Agartala
16.530399,80.796799,Gannavaram
26.7315006256,94.1754989624,Jorhat
31.8766994476318,77.1544036865234,
14.1492996216,77.7910995483,Puttaparthi
26.1928005218506,85.9169006347656,
21.526817,80.290347,
22.3092002869,70.7795028687,Rajkot
23.2875003815,77.3374023438,Bhopal
24.7600002289,93.896697998,Imphal
22.4654998779297,70.0126037597656,Jamnagar
34.1358985901,77.5465011597,Leh
17.1103992462,81.8181991577,Rajahmundry
13.6324996948,79.543296814,Tirupati
27.4839000702,95.0168991089,Dibrugarh
24.817199707,79.9186019897,Khajuraho
31.0818,77.068001,
30.3680992126465,76.8167037963867,
10.8237,72.176003,Agatti
25.4401,81.733902,Allahabad
9.946064,76.271947,Kochi
14.5350999832,75.787399292,
22.3395004272461,87.2145004272461,
20.119101,73.912903,Nasik
11.918614,75.547211,Kannur
18.226944,74.590833,Pune
10.7654,78.709702,Tiruchirappalli
32.689098,74.837402,Jammu
15.8593,74.618301,Belgaum
21.752199173,72.1852035522,Bhavnagar
30.189699,78.180298,Dehradun
19.9636993408,73.8076019287,Nashik
21.649524,69.656405,Porbandar
24.9129009247,92.9786987305,Silchar
20.7131004333496,70.9210968017578,Diu
15.361700058,75.0848999023,Hubli
15.1627998352051,76.8827972412109,Bellary
17.627199173,78.4033966064,Hyderabad
22.8132,86.1688,Jamshedpur
25.160200119,75.8455963135,Kota
32.233611,75.634444,Pathankot
11.968,79.812,Puducherry (Pondicherry)
26.404301,80.410103,Kanpur
12.23,76.655833,Mysore
16.541571,79.316511,Nagarjuna Sagar
23.2223,68.891296,Naliya
24.503401,81.220299,Rewa
11.0136003494263,77.1596984863281,Sulur
13.1354999542236,77.6060028076172,Yelahanka
21.621416,71.226309,Amreli
22.092639,80.595531,Baihar
25.249359,87.009779,Bhagalpur
15.358334,76.51667,Hospete
15.3591003417969,76.2192993164063,Koppal
13.2363163011,93.0497306585,Madhupur
23.7432,92.8024,Aizawl
25.8838996887,93.7711029053,Dimapur
26.2933006286621,78.2277984619141,Gwalior
26.441401,80.364899,Kanpur
27.2954998016357,94.0976028442383,Lilabari
25.7035999298096,91.9786987304687,Shillong
20.698999,77.058601,Akola
28.4221000671,79.4507980347,Bareilly
28.0706005096436,73.2071990966797,Bikaner
21.9884,82.111,Bilaspur
26.7397003174,83.4496994019,Gorakhpur
26.698299407959,89.3691024780273,Jalpaiguri
14.51,78.772778,Kadapa
23.1127,70.100304,Kandla
29.0334,79.473701,Pantnagar
11.78330039978,78.06559753418,Salem
27.588301,93.828102,Ziro
31.4338,75.758797,Adampur
23.8405990601,92.6196975708,Aizawl
13.0712,79.6912,Arakkonam
25.2616996765137,88.7956008911133,Balurghat
22.7810001373,88.3591995239,Barrackpore
22.5042304992676,88.2934265136719,Behala
12.9071998596191,80.1219024658203,Chennai
24.2679,72.204399,Deesa
27.4622001647949,95.1176986694336,Dibrugarh
15.8063,79.4882,Dunakonda
19.0743007659912,82.0367965698242,Jagdalpur
20.962678,75.627492,Jalgaon
18.8799991607666,82.552001953125,Jeypore
26.520399,80.232904,Kalyanpur
24.061899,91.603897,Khowai
24.7169990539551,78.4169998168945,Lalitpur
18.411501,76.464699,Latur
26.9883003234863,80.8930969238281,Lucknow
25.033001,88.133003,Malda
9.15389,77.821198,Nallatinputhur
19.1833000183,77.3167037964,Nanded
20.8700008392334,82.5195999145508,Nawapara
11.6129560471,79.527381897,Neyveli
28.0660991668701,95.3356018066406,Pasighat
33.3778991699219,74.3152008056641,Rajouri
9.32509040833,78.971496582,Ramnad
21.5802001953125,84.0056991577148,Sambalpur
17.6280002594,75.9347991943,Solapur
27.9412002563,96.1343994141,Tezu
10.7224,79.101601,Thanjavur
23.095100402832,75.8852996826172,Ujjain
8.724241,78.025803,Vagaikulam
12.9088001251221,79.0668029785156,Vellore
17.9144,79.602203,Warangal
18.6096166667,73.3775833333,Aamby Valley City
13.3488,74.73095,Adiudupi
8.970609,77.816847,Ahilandapuram
26.601473,74.814147,Ajmer
25.8077,70.2943,Akli
9.49414,76.31942,Alappuzha
27.860856311,78.1468677521,Aligarth
16.54477,80.52135,Amaravati
11.13496,72.73172,Amini
20.8133485116,77.7179074287,Amravati
16.94338,81.95439,Anaparthi
10.81316,73.69946,Andrott
15.59946,73.73368,Anjuna
13.82919,74.74877,Areshiroor
14.76987,74.15487,Arga
22.83809,88.61521,Ashoknagar
18.4884,83.3829,Badangi
10.94592,72.28765,Bangaram
13.07674,77.597645,Bengaluru
19.2975,84.876944,Berhampur (Brahmapur)
19.293808,84.876959,Berhampur (Brahmapur)
31.3451388889,76.75675,Bilaspur
11.60039,72.18541,Bitra
18.73454,84.07501,Buragam
15.49526,73.77516,Candolim
30.70645,77.8615,Chakrata
13.4375,79.97665,Chedilpakkam
11.68159,72.70606,Chetlat
16.002552,73.529846,Chipi
11.75417,79.76703,Cuddalore
14.69388,79.94277,Dagadarthi
27.9855003357,94.2228012085,Daporijo
22.500929,80.331195,Dhenko
23.4929846863,88.4540176392,Dhubulia
21.62606,87.50102,Digha
22.7854403333,87.3622512817,Digri
15.45962,73.79463,Dona Paula
24.231185,87.269989,Dumka
23.6225,87.243,Durgapur
23.58331,87.339787,Durgapur
22.25044,68.95358,Dwarka
22.25463,68.96182,Dwarka
15.5114,73.92381,Ella
12.0376,75.19671,Ezhimala
26.7511282,82.1543651,Faizabad
16.74354,82.29191,Gadimoga
24.3267,93.6754666667,Gangpimual
16.29632,80.4325,Guntur
31.2920833333,75.6072,Jalandhar
11.18231,72.76175,Kadmat
17.02268,82.29039,Kakinada
16.98158,82.23949,Kakinada
10.089713,73.648893,Kalpeni
19.1792197299,73.1391835213,Kalyan
22.9229329875,88.4599292278,Kanchrapara
24.8062,93.94275,Kangla
8.07972,77.54877,Kanyakumari
10.83343,79.84245,Karaikal
12.79598,80.22006,Kelambakkam
21.8571174596,76.3369560242,Khandwa
11.496,72.99814,Kiltan
25.6630666667,94.1139333333,Kohima
8.89486,76.59155,Kollam
13.59634,74.71365,Koteshwara
12.77042,80.24574,Kunnakkadu
27.0590833333,88.2777333333,Lebong
23.785,86.7935,Maithon
9.28061,79.13578,Mandapam
22.83932,69.30498,Mandvi
11.103012,79.692989,Mannampandal
27.4642333333,77.6824166667,Mathura
14.10027,74.50855,Mavalli
23.60118,72.37399,Mehsana
18.895273369,72.8084939718,Mimbai
8.27363,73.022301,Minicoy
8.27937,73.05178,Minicoy
13.2556,80.27623,Minjur
22.412068,68.993632,Mithapur
18.9133456812,72.8292113543,Mumbai
18.9623,72.9030833333,Mumbai
18.9820333333,72.8215666667,Mumbai
18.94265,72.7940166667,Mumbai
22.834795,69.765408,Mundra
25.5381833333,91.82655,Myliem
10.78938,79.83942,Nagapattinam
20.48082,85.77965,Narajmarthapur
27.1567333333,88.3220666667,Nayabazar
14.27386,80.09823,Nellore
14.43095,80.01121,Nellore
15.49844,80.05503,Ongole
15.51774,80.02776,Ongole
15.716288,78.16923,Orvakal
18.281,76.0574,Osmanabad
27.2313,88.587196,Pakyong
22.08627,92.64987,Parva II
27.1559333333,88.61065,Pedong
27.3005,88.23085,Pelling City
23.02589,88.87582,Petrapole
27.1128333333,72.389,Phalodi
33.76875,74.083753,Poonch
11.9631,79.81498,Puducherry (Pondicherry)
11.91806,79.82697,Puducherry (Pondicherry)
19.81035,85.84752,Puri
23.3657772896,86.4367389679,Purulia
15.13299,73.96594,Quitol
18.701,79.3923,Ramagundam
9.36241,78.85934,Ramanathapuram
24.18824,87.701722,Rampurhat
21.8050895155,87.0469093323,Rasgovindpur
18.46648,83.66081,Razam
22.4141666667,82.7194444444,Rumgara
22.4885833333,92.98695,Saiha
26.7744,88.4523166667,Salugara
13.210242,80.152345,Sembilivaram
23.32875,92.8560666667,Serchhip
25.54425,91.8817166667,Shillong
19.688611,74.378889,Shirdi
21.3239987933,74.9567341805,Shirpur
19.33095,84.91073,Sindhigan
13.57462,80.03822,Sri City
13.67567,80.19056,Sriharikota
18.27207,83.90325,Srikakulam
10.04794,72.28857,Suheli Par
18.7365,82.83861,Sunabeda
