S.No.,"CITY 1","CITY 2","PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2"
1,AGARTALA,CHENNAI,849,1124
2,"AGATTI ISLAND",BENGALURU,116,79
3,"AGATTI ISLAND",KOCHI,754,716
4,AGRA,DELHI,0,52
5,AGRA,KHAJURAHO,426,0
6,AGRA,VARANASI,0,1046
7,AHMEDABAD,BENGALURU,16919,15993
8,AHMEDABAD,BHOPAL,817,424
9,AHMEDABAD,CHENNAI,12121,11551
10,AHMEDABAD,COIMBATORE,817,989
11,AHMEDABAD,DELHI,69296,65215
12,AHMEDABAD,DIBRUGARH,339,318
13,AHMEDABAD,GOA,8858,8850
14,AHMEDABAD,GUWAHATI,890,971
15,AHMEDABAD,HYDERABAD,9323,8696
16,AHMEDABAD,IMPHAL,0,91
17,AHMEDABAD,INDORE,2652,3102
18,AHMEDABAD,JAIPUR,3681,3529
19,AHMEDABAD,KOCHI,1868,2149
20,AHMEDABAD,KOLKATA,13354,12753
21,AHMEDABAD,LUCKNOW,878,983
22,AHMEDABAD,MUMBAI,96229,91367
23,AHMEDABAD,NAGPUR,1349,1295
24,AHMEDABAD,PUNE,16547,16235
25,AHMEDABAD,RAIPUR,732,667
26,AIZAWL,GUWAHATI,1551,1554
27,AIZAWL,IMPHAL,371,445
28,AIZAWL,KOLKATA,4222,4180
29,AMRITSAR,BENGALURU,262,212
30,AMRITSAR,CHENNAI,258,217
31,AMRITSAR,DELHI,33351,35245
32,AMRITSAR,JAMMU,0,66
33,AMRITSAR,MUMBAI,5618,6034
34,AMRITSAR,SRINAGAR,4792,4977
35,BAGDOGRA,CHENNAI,1870,1950
36,BENGALURU,AGARTALA,489,660
37,BENGALURU,BAGDOGRA,2436,1850
38,BENGALURU,BELGAUM,2104,2030
39,BENGALURU,CHANDIGARH,9144,8473
40,BENGALURU,CHENNAI,32419,32113
41,BENGALURU,COIMBATORE,7031,6887
42,BENGALURU,"DEHRA DUN",307,269
43,BENGALURU,DELHI,150014,147722
44,BENGALURU,GOA,26337,26886
45,BENGALURU,GUWAHATI,4575,4692
46,BENGALURU,HUBLI,2315,2312
47,BENGALURU,HYDERABAD,48620,48846
48,BENGALURU,IMPHAL,179,344
49,BENGALURU,INDORE,1313,1824
50,BENGALURU,JAIPUR,18080,18086
51,BENGALURU,JODHPUR,557,595
52,BENGALURU,JORHAT,100,114
53,BENGALURU,KOCHI,26814,26991
54,BENGALURU,KOLKATA,45247,43511
55,BENGALURU,KOZHIKODE,1805,1704
56,BENGALURU,LUCKNOW,5355,5104
57,BENGALURU,MADURAI,1212,1258
58,BENGALURU,MANGALORE,15485,16268
59,BENGALURU,MUMBAI,134564,133797
60,BENGALURU,NAGPUR,4038,3601
61,BENGALURU,PATNA,2242,3077
62,BENGALURU,PUNE,49848,50612
63,BENGALURU,RAIPUR,1821,1932
64,BENGALURU,RAJAHMUNDRY,303,204
65,BENGALURU,RAJKOT,456,461
66,BENGALURU,RANCHI,2906,2973
67,BENGALURU,SRINAGAR,601,675
68,BENGALURU,TRIVANDRUM,14175,14787
69,BENGALURU,VARANASI,3715,3436
70,BENGALURU,VIJAYAWADA,6040,6048
71,BENGALURU,VISAKHAPATNAM,19265,19638
72,BHAVNAGAR,MUMBAI,1474,1532
73,BHOPAL,CHANDIGARH,84,123
74,BHOPAL,DELHI,15018,13797
75,BHOPAL,HYDERABAD,383,452
76,BHOPAL,INDORE,111,0
77,BHOPAL,MUMBAI,13189,10842
78,BHOPAL,RAIPUR,0,723
79,BHUBANESWAR,BENGALURU,8805,8579
80,BHUBANESWAR,CHENNAI,1999,1850
81,BHUBANESWAR,COIMBATORE,307,335
82,BHUBANESWAR,DELHI,30420,29553
83,BHUBANESWAR,HYDERABAD,6172,6123
