S.No.,"CITY 1","CITY 2","PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2"
1,AGARTALA,CHENNAI,2044,1839
2,AGARTALA,PUNE,199,0
3,"AGATTI ISLAND",KOCHI,910,1072
4,AGRA,DELHI,0,31
5,AGRA,JAIPUR,475,341
6,AGRA,KHAJURAHO,269,0
7,AGRA,VARANASI,0,732
8,AHMEDABAD,BENGALURU,47207,45707
9,AHMEDABAD,BHUBANESWAR,267,0
10,AHMEDABAD,CHENNAI,21281,20484
11,AHMEDABAD,COIMBATORE,878,1041
12,AHMEDABAD,DELHI,99700,105397
13,AHMEDABAD,GOA,13552,14122
14,AHMEDABAD,GUWAHATI,445,344
15,AHMEDABAD,HYDERABAD,27506,26698
16,AHMEDABAD,IMPHAL,0,63
17,AHMEDABAD,INDORE,1632,1642
18,AHMEDABAD,JAIPUR,13312,12951
19,AHMEDABAD,KOCHI,5152,5636
20,AHMEDABAD,KOLKATA,18677,19129
21,AHMEDABAD,LUCKNOW,5393,5922
22,AHMEDABAD,MANGALORE,40,247
23,AHMEDABAD,MUMBAI,94061,94919
24,AHMEDABAD,NAGPUR,353,267
25,AHMEDABAD,PUNE,23111,23642
26,AHMEDABAD,TRIVANDRUM,261,448
27,AHMEDABAD,VARANASI,3372,3870
28,AHMEDABAD,VISAKHAPATNAM,704,740
29,AIZAWL,AHMEDABAD,11,46
30,AIZAWL,DELHI,508,1237
31,AIZAWL,GUWAHATI,2711,2550
32,AIZAWL,IMPHAL,273,253
33,AIZAWL,KOLKATA,5899,6913
34,AIZAWL,MUMBAI,254,434
35,AMRITSAR,BAGDOGRA,0,128
36,AMRITSAR,BENGALURU,2892,3275
37,AMRITSAR,CHENNAI,240,0
38,AMRITSAR,COIMBATORE,0,188
39,AMRITSAR,DELHI,56711,60866
40,AMRITSAR,GOA,0,38
41,AMRITSAR,JAMMU,374,809
42,AMRITSAR,KOLKATA,474,476
43,AMRITSAR,MUMBAI,16065,14965
44,AMRITSAR,NANDED,561,458
45,AMRITSAR,PUNE,864,748
46,AMRITSAR,SRINAGAR,2353,2768
47,BAGDOGRA,CHENNAI,1810,2077
48,BAGDOGRA,RANCHI,0,38
49,BELGAUM,CHENNAI,2116,2162
50,BELGAUM,JABALPUR,26,11
51,BENGALURU,AGARTALA,310,448
52,BENGALURU,BAGDOGRA,6880,6329
53,BENGALURU,BELGAUM,4555,4546
54,BENGALURU,CHANDIGARH,9725,10296
55,BENGALURU,CHENNAI,45420,45678
56,BENGALURU,COIMBATORE,10660,11090
57,BENGALURU,"DEHRA DUN",3663,3551
58,BENGALURU,DELHI,182549,192829
59,BENGALURU,GOA,49584,46812
60,BENGALURU,GUWAHATI,17466,14489
61,BENGALURU,HUBLI,2213,2258
62,BENGALURU,HYDERABAD,95530,96643
63,BENGALURU,IMPHAL,767,755
64,BENGALURU,INDORE,5552,6543
65,BENGALURU,JAIPUR,25151,23611
66,BENGALURU,JAMMU,0,96
67,BENGALURU,JODHPUR,409,485
68,BENGALURU,KOCHI,55688,52906
69,BENGALURU,KOLKATA,80799,76518
70,BENGALURU,KOZHIKODE,3802,3545
71,BENGALURU,LUCKNOW,18631,19013
72,BENGALURU,MADURAI,4034,4188
73,BENGALURU,MANGALORE,24976,23856
74,BENGALURU,MUMBAI,157264,157750
75,BENGALURU,NAGPUR,12496,12569
76,BENGALURU,PATNA,18083,16563
77,BENGALURU,"PORT BLAIR",4807,4850
78,BENGALURU,PUNE,70546,73074
79,BENGALURU,RAIPUR,2951,1453
80,BENGALURU,RANCHI,12747,14712
81,BENGALURU,SILCHAR,410,605
