S.No.,"CITY 1","CITY 2","PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2"
1,AGARTALA,CHENNAI,1018,802
2,AGARTALA,PUNE,14,0
3,AGARTALA,VISAKHAPATNAM,181,0
4,"AGATTI ISLAND",KOCHI,478,824
5,AGRA,DELHI,0,45
6,AGRA,KHAJURAHO,41,0
7,AGRA,VARANASI,0,188
8,AHMEDABAD,BENGALURU,27959,28915
9,AHMEDABAD,BHUBANESWAR,38,0
10,AHMEDABAD,CHENNAI,17530,16798
11,AHMEDABAD,COIMBATORE,675,798
12,AHMEDABAD,DELHI,74345,88079
13,AHMEDABAD,GOA,12982,14883
14,AHMEDABAD,GUWAHATI,1383,1463
15,AHMEDABAD,HYDERABAD,18131,17519
16,AHMEDABAD,IMPHAL,0,35
17,AHMEDABAD,JAIPUR,12210,11018
18,AHMEDABAD,JORHAT,28,29
19,AHMEDABAD,KOCHI,5574,6248
20,AHMEDABAD,KOLKATA,13062,13968
21,AHMEDABAD,LUCKNOW,4242,4390
22,AHMEDABAD,MUMBAI,81883,85113
23,AHMEDABAD,NAGPUR,551,555
24,AHMEDABAD,PUNE,16702,16193
25,AHMEDABAD,TRIVANDRUM,177,287
26,AHMEDABAD,VISAKHAPATNAM,581,618
27,AIZAWL,AHMEDABAD,6,14
28,AIZAWL,BENGALURU,36,60
29,AIZAWL,DELHI,571,644
30,AIZAWL,GUWAHATI,4212,3888
31,AIZAWL,IMPHAL,257,307
32,AIZAWL,KOLKATA,6848,5658
33,AIZAWL,MUMBAI,282,150
34,AMRITSAR,BAGDOGRA,0,97
35,AMRITSAR,BENGALURU,177,198
36,AMRITSAR,CHENNAI,155,318
37,AMRITSAR,COIMBATORE,0,3
38,AMRITSAR,DELHI,39937,36104
39,AMRITSAR,JAMMU,170,348
40,AMRITSAR,MUMBAI,14058,11034
41,AMRITSAR,PUNE,831,372
42,AMRITSAR,SRINAGAR,4073,4749
43,BAGDOGRA,CHENNAI,568,1057
44,BAGDOGRA,RANCHI,0,4
45,BELGAUM,JABALPUR,22,20
46,BENGALURU,AGARTALA,848,594
47,BENGALURU,BAGDOGRA,5197,4949
48,BENGALURU,BELGAUM,2093,2092
49,BENGALURU,CHANDIGARH,14665,14763
50,BENGALURU,CHENNAI,41868,40911
51,BENGALURU,COIMBATORE,5448,5863
52,BENGALURU,"DEHRA DUN",699,377
