S.No.,"CITY 1","CITY 2","PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2"
1,AGARTALA,CHENNAI,1017,1347
2,"AGATTI ISLAND",KOCHI,1426,0
3,AGRA,DELHI,0,2
4,AGRA,KHAJURAHO,7,0
5,AGRA,VARANASI,0,106
6,AHMEDABAD,BENGALURU,20381,17411
7,AHMEDABAD,CHENNAI,13939,13997
8,AHMEDABAD,COIMBATORE,752,0
9,AHMEDABAD,DELHI,80500,79099
10,AHMEDABAD,GOA,4528,4195
11,AHMEDABAD,GUWAHATI,615,860
12,AHMEDABAD,HYDERABAD,11066,10641
13,AHMEDABAD,JAIPUR,2559,2751
14,AHMEDABAD,KOCHI,2955,2525
15,AHMEDABAD,KOLKATA,12916,12312
16,AHMEDABAD,MUMBAI,94026,86785
17,AHMEDABAD,PUNE,16141,15477
18,AHMEDABAD,VADODARA,0,62
19,AIZAWL,AHMEDABAD,26,42
20,AIZAWL,DELHI,584,679
21,AIZAWL,GUWAHATI,1785,1822
22,AIZAWL,IMPHAL,392,428
23,AIZAWL,KOLKATA,3790,4145
24,AMRITSAR,BENGALURU,146,87
25,AMRITSAR,CHENNAI,271,154
26,AMRITSAR,DELHI,33355,28416
27,AMRITSAR,MUMBAI,4909,4297
28,AMRITSAR,SRINAGAR,3877,4107
29,BAGDOGRA,CHENNAI,1174,1379
30,BELGAUM,JABALPUR,41,49
31,BENGALURU,AGARTALA,702,779
32,BENGALURU,BAGDOGRA,1338,1437
33,BENGALURU,BELGAUM,2221,2259
34,BENGALURU,CHANDIGARH,14362,16221
35,BENGALURU,CHENNAI,47426,51455
36,BENGALURU,COIMBATORE,11997,11754
37,BENGALURU,"DEHRA DUN",695,843
38,BENGALURU,DELHI,157554,179085
39,BENGALURU,GOA,31903,38021
40,BENGALURU,GUWAHATI,8310,8913
41,BENGALURU,HUBLI,2029,2009
42,BENGALURU,HYDERABAD,54355,55961
43,BENGALURU,IMPHAL,326,1151
44,BENGALURU,INDORE,2313,3175
45,BENGALURU,JAIPUR,21327,25010
46,BENGALURU,JODHPUR,357,686
47,BENGALURU,JORHAT,110,164
48,BENGALURU,KOCHI,28383,22785
49,BENGALURU,KOLKATA,51292,58369
50,BENGALURU,KOZHIKODE,1925,1815
51,BENGALURU,LUCKNOW,7656,9321
52,BENGALURU,MADURAI,3456,3544
53,BENGALURU,MANGALORE,16916,16836
54,BENGALURU,MUMBAI,146979,154418
55,BENGALURU,NAGPUR,4299,4581
56,BENGALURU,PATNA,7611,3418
57,BENGALURU,"PORT BLAIR",4142,5121
58,BENGALURU,PUNE,60803,68435
59,BENGALURU,RAIPUR,2185,2811
60,BENGALURU,RAJKOT,305,356
61,BENGALURU,RANCHI,2877,7876
62,BENGALURU,SRINAGAR,849,1096
63,BENGALURU,TRIVANDRUM,23304,23334
64,BENGALURU,VARANASI,3532,4549
65,BENGALURU,VIJAYAWADA,6782,7433
66,BENGALURU,VISAKHAPATNAM,16917,17748
67,BHAVNAGAR,MUMBAI,851,801
68,BHOPAL,DELHI,19559,18439
69,BHOPAL,HYDERABAD,338,226
70,BHOPAL,JABALPUR,463,0
71,BHOPAL,MUMBAI,16440,12628
72,BHOPAL,RAIPUR,326,944
73,BHUBANESWAR,BENGALURU,10372,8652
74,BHUBANESWAR,CHENNAI,1982,1658
75,BHUBANESWAR,COIMBATORE,386,365
76,BHUBANESWAR,DELHI,31346,32386
77,BHUBANESWAR,HYDERABAD,7005,6005
78,BHUBANESWAR,KOLKATA,12578,11947
79,BHUBANESWAR,MUMBAI,20779,19481
80,BHUBANESWAR,VARANASI,1269,1306
81,BHUBANESWAR,VISAKHAPATNAM,791,730
82,BHUJ,DELHI,528,466
83,BHUJ,MUMBAI,8007,6888
84,CHANDIGARH,CHENNAI,746,838
85,CHANDIGARH,SRINAGAR,5993,6034
86,CHENNAI,PUNE,32560,34109
87,CHENNAI,RAIPUR,1306,1455
88,CHENNAI,RAJAHMUNDRY,1501,1821
89,CHENNAI,SRINAGAR,684,866
90,CHENNAI,TIRUCHIRAPALLY,7687,7830
91,CHENNAI,TRIVANDRUM,15550,15281
92,CHENNAI,TUTICORIN,4420,4249
93,CHENNAI,VIJAYAWADA,2417,2315
94,CHENNAI,VISAKHAPATNAM,5688,5601
95,COIMBATORE,AGARTALA,46,58
96,COIMBATORE,CHENNAI,26108,25601
97,COIMBATORE,DELHI,8590,10597
98,COIMBATORE,HYDERABAD,8937,9444
99,COIMBATORE,VIJAYAWADA,153,0
100,CUDDAPAH,HYDERABAD,23,679
101,CUDDAPAH,TIRUPATI,679,0
102,CUDDAPAH,VIJAYAWADA,375,397
103,"DEHRA DUN",CHENNAI,311,0
104,"DEHRA DUN",DELHI,29216,28904
105,"DEHRA DUN",HYDERABAD,946,1252
106,DELHI,AGARTALA,3820,3354
107,DELHI,ALLAHABAD,1518,1614
108,DELHI,AURANGABAD,3126,3548
109,DELHI,BAGDOGRA,34238,37195
110,DELHI,CHANDIGARH,24914,25608
111,DELHI,CHENNAI,111559,104047
112,DELHI,DHARAMSALA,7111,5754
113,DELHI,DIBRUGARH,4460,3298
114,DELHI,DIMAPUR,1361,899
115,DELHI,DURGAPUR,618,641
116,DELHI,GAYA,3020,2202
117,DELHI,GOA,45392,52603
118,DELHI,GORAKHPUR,1408,1324
119,DELHI,GUWAHATI,42444,37738
120,DELHI,HYDERABAD,103696,101240
121,DELHI,IMPHAL,6972,5175
122,DELHI,INDORE,29715,30259
123,DELHI,JABALPUR,3450,3455
124,DELHI,JAIPUR,27757,28864
125,DELHI,JAMMU,24908,19515
126,DELHI,JODHPUR,4321,4741
127,DELHI,KHAJURAHO,339,400
128,DELHI,KULLU,1357,927
129,DELHI,LEH,23255,22417
130,DELHI,LUCKNOW,73333,76027
131,DELHI,MADURAI,445,429
132,DELHI,MANGALORE,930,700
133,DELHI,NAGPUR,18010,18670
134,DELHI,PANTNAGAR,461,350
135,DELHI,PATNA,50634,47505
136,DELHI,"PORT BLAIR",2966,3606
137,DELHI,PUNE,98298,97585
138,DELHI,RAIPUR,22529,23153
139,DELHI,RAJKOT,1468,1506
140,DELHI,RANCHI,20969,19899
141,DELHI,SRINAGAR,92411,89398
142,DELHI,SURAT,6659,6430
143,DELHI,TIRUPATI,1957,1605
144,DELHI,TRIVANDRUM,10669,9164
145,DELHI,UDAIPUR,16390,15767
146,DELHI,VARANASI,35395,36663
147,DELHI,VIJAYAWADA,6490,6193
148,DELHI,VISAKHAPATNAM,20022,19937
149,DIBRUGARH,DIMAPUR,17,12
150,DIBRUGARH,GUWAHATI,2078,997
151,GAYA,VARANASI,75,0
152,GOA,CHENNAI,7344,6756
153,GOA,HYDERABAD,8806,9252
154,GOA,INDORE,3906,4048
155,GOA,LUCKNOW,206,168
156,GOA,MADURAI,28,4
157,GOA,PATNA,552,486
158,GOA,PUNE,6767,6897
159,GOA,RAIPUR,359,482
160,GOA,VARANASI,392,575
161,GUWAHATI,AGARTALA,7903,7977
162,GUWAHATI,BAGDOGRA,5747,2296
163,GUWAHATI,CHENNAI,5815,5577
164,GUWAHATI,GOA,460,432
165,GUWAHATI,HYDERABAD,790,1173
166,GUWAHATI,IMPHAL,20166,23295
167,GUWAHATI,JAIPUR,977,1079
168,GUWAHATI,JORHAT,364,600
169,GUWAHATI,LILABARI,0,826
170,GUWAHATI,SILCHAR,1830,1900
171,HYDERABAD,AGARTALA,216,120
172,HYDERABAD,AURANGABAD,1805,1912
173,HYDERABAD,CHANDIGARH,475,488
174,HYDERABAD,CHENNAI,45632,44726
