S.No.,"CITY 1","CITY 2","PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2"
1,"AGATTI ISLAND",KOCHI,375,524
2,AGRA,KHAJURAHO,6,0
3,AGRA,VARANASI,0,31
4,AHMEDABAD,BENGALURU,12967,12590
5,AHMEDABAD,BHOPAL,916,572
6,AHMEDABAD,CHENNAI,14157,13514
7,AHMEDABAD,DELHI,46875,47903
8,AHMEDABAD,DIBRUGARH,308,345
9,AHMEDABAD,GOA,4415,4414
10,AHMEDABAD,GUWAHATI,1161,1340
11,AHMEDABAD,HYDERABAD,11018,10069
12,AHMEDABAD,IMPHAL,0,113
13,AHMEDABAD,INDORE,436,674
14,AHMEDABAD,JAIPUR,3079,2856
15,AHMEDABAD,KOCHI,574,562
16,AHMEDABAD,KOLKATA,11000,10322
17,AHMEDABAD,LUCKNOW,1316,1425
18,AHMEDABAD,MUMBAI,77364,76263
19,AHMEDABAD,NAGPUR,712,797
20,AHMEDABAD,PUNE,8331,8695
21,AIZAWL,GUWAHATI,1647,1410
22,AIZAWL,IMPHAL,401,382
23,AIZAWL,KOLKATA,4505,4129
24,AMRITSAR,BENGALURU,152,156
25,AMRITSAR,CHENNAI,263,289
26,AMRITSAR,DELHI,26176,27421
27,AMRITSAR,MUMBAI,5237,4505
28,AMRITSAR,SRINAGAR,4152,5144
29,BAGDOGRA,CHENNAI,2077,2220
30,BELGAUM,CHENNAI,489,382
31,BENGALURU,AGARTALA,1175,1854
32,BENGALURU,BAGDOGRA,2694,2746
33,BENGALURU,BELGAUM,4148,3896
34,BENGALURU,CHANDIGARH,10082,9549
35,BENGALURU,CHENNAI,32863,33136
36,BENGALURU,COIMBATORE,6434,6071
37,BENGALURU,CUDDAPAH,380,489
38,BENGALURU,"DEHRA DUN",478,497
39,BENGALURU,DELHI,140822,140945
40,BENGALURU,GOA,25231,25155
41,BENGALURU,GUWAHATI,5309,5640
42,BENGALURU,HUBLI,1303,1470
43,BENGALURU,HYDERABAD,44190,44564
44,BENGALURU,IMPHAL,403,479
45,BENGALURU,INDORE,1468,2399
46,BENGALURU,JABALPUR,298,428
47,BENGALURU,JAIPUR,20774,19318
48,BENGALURU,JODHPUR,606,408
49,BENGALURU,JORHAT,183,180
50,BENGALURU,KOCHI,34274,32650
51,BENGALURU,KOLKATA,36917,34844
52,BENGALURU,KOZHIKODE,2021,1806
53,BENGALURU,LUCKNOW,5773,5776
54,BENGALURU,MADURAI,631,544
55,BENGALURU,MANGALORE,12679,12458
56,BENGALURU,MUMBAI,129383,130686
57,BENGALURU,NAGPUR,3975,3621
58,BENGALURU,PATNA,2326,2987
59,BENGALURU,PUDUCHERRY,453,509
60,BENGALURU,PUNE,50316,51519
61,BENGALURU,RAIPUR,1663,1843
62,BENGALURU,RAJAHMUNDRY,426,219
63,BENGALURU,RAJKOT,155,142
64,BENGALURU,RANCHI,2557,2913
65,BENGALURU,SRINAGAR,1396,1011
66,BENGALURU,TRIVANDRUM,15308,14998
67,BENGALURU,VARANASI,1604,1682
68,BENGALURU,VIJAYAWADA,4977,4875
69,BENGALURU,VISAKHAPATNAM,16536,16098
70,BHAVNAGAR,MUMBAI,1532,1653
71,BHOPAL,CHANDIGARH,0,159
72,BHOPAL,DELHI,12743,12800
73,BHOPAL,HYDERABAD,331,377
74,BHOPAL,INDORE,102,0
75,BHOPAL,LUCKNOW,58,0
76,BHOPAL,MUMBAI,12816,11203
77,BHOPAL,RAIPUR,0,963
78,BHUBANESWAR,BENGALURU,5683,5816
79,BHUBANESWAR,CHENNAI,1861,1813
80,BHUBANESWAR,COIMBATORE,208,199
81,BHUBANESWAR,DELHI,23238,24302
82,BHUBANESWAR,HYDERABAD,6634,6519
83,BHUBANESWAR,KOLKATA,12406,11832
84,BHUBANESWAR,MUMBAI,14957,14638
85,BHUBANESWAR,"PORT BLAIR",41,0
86,BHUBANESWAR,VISAKHAPATNAM,537,625
87,BHUJ,DELHI,309,367
88,BHUJ,MUMBAI,5083,4952
89,CHANDIGARH,CHENNAI,1354,1278
90,CHANDIGARH,SRINAGAR,6769,7995
91,CHENNAI,PUNE,30981,31510
92,CHENNAI,RAIPUR,1032,1143
93,CHENNAI,RAJAHMUNDRY,653,671
94,CHENNAI,SRINAGAR,300,327
95,CHENNAI,TIRUCHIRAPALLY,6712,6390
96,CHENNAI,TRIVANDRUM,9969,9848
97,CHENNAI,TUTICORIN,4656,4708
98,CHENNAI,VIJAYAWADA,3609,3540
