S.No.,"CITY 1","CITY 2","PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2"
1,AGARTALA,CHENNAI,1149,1191
2,"AGATTI ISLAND",KOCHI,1119,0
3,AHMEDABAD,BENGALURU,15121,15616
4,AHMEDABAD,CHENNAI,12596,12319
5,AHMEDABAD,COIMBATORE,917,0
6,AHMEDABAD,DELHI,65813,80980
7,AHMEDABAD,GOA,2999,3543
8,AHMEDABAD,GUWAHATI,542,1120
9,AHMEDABAD,HYDERABAD,14653,13647
10,AHMEDABAD,JAIPUR,2427,2487
11,AHMEDABAD,KOCHI,991,1508
12,AHMEDABAD,KOLKATA,10987,11356
13,AHMEDABAD,MUMBAI,80183,81666
14,AHMEDABAD,PUNE,13264,12831
15,AHMEDABAD,VISAKHAPATNAM,0,611
16,AIZAWL,AHMEDABAD,21,27
17,AIZAWL,DELHI,814,689
18,AIZAWL,GUWAHATI,1868,1868
19,AIZAWL,IMPHAL,462,523
20,AIZAWL,KOLKATA,4049,3847
21,AMRITSAR,BENGALURU,159,122
22,AMRITSAR,CHENNAI,128,144
23,AMRITSAR,DELHI,30825,28257
24,AMRITSAR,MUMBAI,5183,4886
25,AMRITSAR,SRINAGAR,4668,4628
26,BAGDOGRA,CHENNAI,1224,2023
27,BELGAUM,JABALPUR,22,11
28,BENGALURU,AGARTALA,765,831
29,BENGALURU,BAGDOGRA,1773,1304
30,BENGALURU,BELGAUM,2196,2212
31,BENGALURU,CHANDIGARH,10274,10093
32,BENGALURU,CHENNAI,43157,44857
33,BENGALURU,COIMBATORE,11345,11337
34,BENGALURU,"DEHRA DUN",600,680
35,BENGALURU,DELHI,161308,170270
36,BENGALURU,GOA,23528,23613
37,BENGALURU,GUWAHATI,8426,8968
38,BENGALURU,HUBLI,1403,1332
39,BENGALURU,HYDERABAD,53215,50019
40,BENGALURU,IMPHAL,263,1533
41,BENGALURU,INDORE,1509,2127
42,BENGALURU,JAIPUR,20720,19557
43,BENGALURU,JODHPUR,237,197
44,BENGALURU,JORHAT,96,119
45,BENGALURU,KOCHI,26333,24731
46,BENGALURU,KOLKATA,52063,48595
47,BENGALURU,KOZHIKODE,1827,1585
48,BENGALURU,LUCKNOW,7669,7686
49,BENGALURU,MADURAI,3321,3141
50,BENGALURU,MANGALORE,15339,13951
51,BENGALURU,MUMBAI,134582,128055
52,BENGALURU,NAGPUR,5029,4980
53,BENGALURU,PATNA,7792,2779
54,BENGALURU,"PORT BLAIR",1175,1420
55,BENGALURU,PUNE,55209,53906
56,BENGALURU,RAIPUR,2569,2533
57,BENGALURU,RAJKOT,189,123
58,BENGALURU,RANCHI,3085,6880
59,BENGALURU,SRINAGAR,145,210
60,BENGALURU,TRIVANDRUM,17870,19411
61,BENGALURU,VARANASI,3259,3720
62,BENGALURU,VIJAYAWADA,6791,6612
63,BENGALURU,VISAKHAPATNAM,19080,18619
64,BHOPAL,DELHI,13309,15819
65,BHOPAL,HYDERABAD,274,154
66,BHOPAL,JABALPUR,1134,0
67,BHOPAL,MUMBAI,14647,12219
68,BHOPAL,RAIPUR,616,946
69,BHUBANESWAR,BENGALURU,7886,9149
70,BHUBANESWAR,CHENNAI,1900,1751
71,BHUBANESWAR,COIMBATORE,482,497
72,BHUBANESWAR,DELHI,28072,31782
73,BHUBANESWAR,HYDERABAD,6672,5774
74,BHUBANESWAR,KOLKATA,11282,10960
75,BHUBANESWAR,MUMBAI,18292,17906
76,BHUBANESWAR,VARANASI,825,1103
77,BHUBANESWAR,VISAKHAPATNAM,681,776
78,BHUJ,DELHI,233,414
79,BHUJ,MUMBAI,5927,5475
80,CHANDIGARH,CHENNAI,775,642
81,CHANDIGARH,SRINAGAR,7554,7264
82,CHENNAI,PUNE,33530,33295
83,CHENNAI,RAIPUR,1210,1185
84,CHENNAI,RAJAHMUNDRY,1389,1444
85,CHENNAI,SRINAGAR,111,192
86,CHENNAI,TIRUCHIRAPALLY,7936,8055
87,CHENNAI,TRIVANDRUM,11371,10723
88,CHENNAI,TUTICORIN,4330,4052
89,CHENNAI,VIJAYAWADA,2491,2369
90,CHENNAI,VISAKHAPATNAM,9424,8727
91,COIMBATORE,AGARTALA,88,55
92,COIMBATORE,CHENNAI,25370,24887
93,COIMBATORE,DELHI,9757,9354
94,COIMBATORE,HYDERABAD,9099,8373
95,COIMBATORE,TIRUPATI,1,0
96,COIMBATORE,VIJAYAWADA,5,0
97,COIMBATORE,VISAKHAPATNAM,146,0
98,CUDDAPAH,CHENNAI,174,164
99,CUDDAPAH,HYDERABAD,0,352
100,CUDDAPAH,TIRUPATI,348,0
101,CUDDAPAH,VIJAYAWADA,252,211
102,"DEHRA DUN",CHENNAI,448,0
103,"DEHRA DUN",DELHI,27829,26396
104,"DEHRA DUN",HYDERABAD,957,963
105,"DEHRA DUN",MADURAI,4,0
106,DELHI,AGARTALA,3507,2621
107,DELHI,ALLAHABAD,1617,1474
108,DELHI,AURANGABAD,2837,3054
109,DELHI,BAGDOGRA,33659,39028
110,DELHI,CHANDIGARH,26942,29095
111,DELHI,CHENNAI,98764,91541
112,DELHI,DHARAMSALA,6291,5270
113,DELHI,DIBRUGARH,3829,3194
114,DELHI,DIMAPUR,1229,1052
115,DELHI,DURGAPUR,394,283
116,DELHI,GAYA,3083,1890
117,DELHI,GOA,65559,62540
118,DELHI,GORAKHPUR,1528,1227
119,DELHI,GUWAHATI,46661,43607
120,DELHI,HYDERABAD,94332,81820
121,DELHI,IMPHAL,5972,6134
122,DELHI,INDORE,24110,22408
123,DELHI,JABALPUR,3428,3225
124,DELHI,JAIPUR,26522,24386
125,DELHI,JAMMU,23357,17260
126,DELHI,JODHPUR,4664,4019
127,DELHI,KHAJURAHO,337,395
128,DELHI,KULLU,1309,908
129,DELHI,LEH,24469,25416
130,DELHI,LUCKNOW,75855,72194
131,DELHI,MADURAI,717,759
132,DELHI,MANGALORE,566,407
133,DELHI,NAGPUR,17145,15131
134,DELHI,PANTNAGAR,232,215
135,DELHI,PATNA,51099,46768
