S.No.,"CITY 1","CITY 2","PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2"
1,AGARTALA,CHENNAI,746,694
2,AGARTALA,VISAKHAPATNAM,95,0
3,"AGATTI ISLAND",KOCHI,961,1209
4,AHMEDABAD,BENGALURU,24988,34003
5,AHMEDABAD,CHENNAI,16614,18328
6,AHMEDABAD,COIMBATORE,982,776
7,AHMEDABAD,DELHI,81527,74332
8,AHMEDABAD,GOA,12504,13917
9,AHMEDABAD,GUWAHATI,1271,1072
10,AHMEDABAD,HYDERABAD,19360,21679
11,AHMEDABAD,JAIPUR,12772,11269
12,AHMEDABAD,KOCHI,5064,5200
13,AHMEDABAD,KOLKATA,13698,12540
14,AHMEDABAD,KOZHIKODE,382,201
15,AHMEDABAD,LUCKNOW,4741,3771
16,AHMEDABAD,MUMBAI,80822,75543
17,AHMEDABAD,NAGPUR,465,647
18,AHMEDABAD,PUNE,16507,18000
19,AHMEDABAD,TRIVANDRUM,275,214
20,AHMEDABAD,VISAKHAPATNAM,488,316
21,AIZAWL,AHMEDABAD,13,6
22,AIZAWL,DELHI,625,752
23,AIZAWL,GUWAHATI,3316,3375
24,AIZAWL,IMPHAL,321,245
25,AIZAWL,KOLKATA,5253,5421
26,AMRITSAR,BENGALURU,176,228
27,AMRITSAR,CHENNAI,207,407
28,AMRITSAR,DELHI,45008,37291
29,AMRITSAR,JAIPUR,87,0
30,AMRITSAR,MUMBAI,11715,12980
31,AMRITSAR,SRINAGAR,4045,4999
32,BAGDOGRA,CHENNAI,661,1428
33,BAGDOGRA,LUCKNOW,0,37
34,BAGDOGRA,RANCHI,0,10
35,BELGAUM,JABALPUR,44,40
36,BENGALURU,AGARTALA,918,901
37,BENGALURU,BAGDOGRA,2401,1322
38,BENGALURU,BELGAUM,2127,2067
39,BENGALURU,CHANDIGARH,14528,14201
40,BENGALURU,CHENNAI,36239,34656
41,BENGALURU,COIMBATORE,3552,3616
42,BENGALURU,"DEHRA DUN",0,554
