S.No.,"CITY 1","CITY 2","PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2"
1,AGARTALA,CHENNAI,1185,1073
2,AGARTALA,PUNE,125,0
3,AGARTALA,VISAKHAPATNAM,58,0
4,"AGATTI ISLAND",KOCHI,590,604
5,AGRA,DELHI,0,94
6,AGRA,KHAJURAHO,78,0
7,AGRA,VARANASI,0,408
8,AHMEDABAD,BENGALURU,23582,21868
9,AHMEDABAD,BHUBANESWAR,183,0
10,AHMEDABAD,CHENNAI,18656,17895
11,AHMEDABAD,COIMBATORE,711,644
12,AHMEDABAD,DELHI,75496,80272
13,AHMEDABAD,GOA,13278,14597
14,AHMEDABAD,GUWAHATI,939,872
15,AHMEDABAD,HYDERABAD,17824,15948
16,AHMEDABAD,IMPHAL,0,22
17,AHMEDABAD,INDORE,526,486
18,AHMEDABAD,JAIPUR,11405,10048
19,AHMEDABAD,KOCHI,5131,5887
20,AHMEDABAD,KOLKATA,11602,12326
21,AHMEDABAD,LUCKNOW,3683,3596
22,AHMEDABAD,MUMBAI,81526,79738
23,AHMEDABAD,NAGPUR,487,449
24,AHMEDABAD,PUNE,17815,18035
25,AHMEDABAD,TRIVANDRUM,262,200
26,AHMEDABAD,VISAKHAPATNAM,500,469
27,AIZAWL,AHMEDABAD,23,10
28,AIZAWL,DELHI,1011,684
29,AIZAWL,GUWAHATI,4216,3604
30,AIZAWL,IMPHAL,337,266
31,AIZAWL,KOLKATA,7301,6128
32,AIZAWL,MUMBAI,251,198
33,AMRITSAR,BAGDOGRA,0,180
34,AMRITSAR,BENGALURU,320,243
35,AMRITSAR,CHENNAI,225,266
36,AMRITSAR,COIMBATORE,0,62
37,AMRITSAR,DELHI,40848,44245
38,AMRITSAR,JAMMU,186,329
39,AMRITSAR,MUMBAI,10982,10521
40,AMRITSAR,PUNE,248,328
41,AMRITSAR,SRINAGAR,3853,5096
42,BAGDOGRA,CHENNAI,1019,1022
43,BAGDOGRA,RANCHI,0,4
44,BELGAUM,JABALPUR,20,30
