S.No.,"CITY 1","CITY 2","PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2"
1,AGARTALA,CHENNAI,2095,1704
2,AGARTALA,PUNE,92,0
3,AGARTALA,VISAKHAPATNAM,4,0
4,"AGATTI ISLAND",KOCHI,985,1213
5,AGRA,DELHI,0,31
6,AGRA,KHAJURAHO,236,0
7,AGRA,VARANASI,0,811
8,AHMEDABAD,BENGALURU,39184,39325
9,AHMEDABAD,BHUBANESWAR,165,0
10,AHMEDABAD,CHENNAI,19704,20751
11,AHMEDABAD,COIMBATORE,799,973
12,AHMEDABAD,DELHI,92664,97574
13,AHMEDABAD,GOA,12373,14008
14,AHMEDABAD,GUWAHATI,493,531
15,AHMEDABAD,HYDERABAD,18371,18285
16,AHMEDABAD,IMPHAL,0,41
17,AHMEDABAD,INDORE,1502,1439
18,AHMEDABAD,JAIPUR,13605,12948
19,AHMEDABAD,KOCHI,5300,6580
20,AHMEDABAD,KOLKATA,18359,19471
21,AHMEDABAD,LUCKNOW,5670,5759
22,AHMEDABAD,MANGALORE,27,198
23,AHMEDABAD,MUMBAI,91850,96141
24,AHMEDABAD,NAGPUR,407,366
25,AHMEDABAD,PUNE,22303,23616
26,AHMEDABAD,TRIVANDRUM,410,594
27,AHMEDABAD,VISAKHAPATNAM,552,616
28,AIZAWL,AHMEDABAD,8,11
29,AIZAWL,DELHI,854,1040
30,AIZAWL,GUWAHATI,3044,2936
31,AIZAWL,IMPHAL,220,231
32,AIZAWL,KOLKATA,6599,6354
33,AIZAWL,MUMBAI,219,146
34,AMRITSAR,BAGDOGRA,0,160
35,AMRITSAR,BENGALURU,2775,3040
36,AMRITSAR,CHENNAI,129,0
37,AMRITSAR,COIMBATORE,0,130
38,AMRITSAR,DELHI,55348,57468
39,AMRITSAR,GOA,0,63
40,AMRITSAR,JAMMU,303,625
41,AMRITSAR,KOLKATA,337,279
42,AMRITSAR,MUMBAI,15119,14222
43,AMRITSAR,PUNE,531,610
44,AMRITSAR,SRINAGAR,1742,2884
45,BAGDOGRA,CHENNAI,2053,2210
46,BAGDOGRA,RANCHI,0,14
47,BELGAUM,CHENNAI,1502,1659
48,BELGAUM,JABALPUR,10,5
49,BENGALURU,AGARTALA,339,288
50,BENGALURU,BAGDOGRA,1700,1833
51,BENGALURU,BELGAUM,4145,3965
52,BENGALURU,CHANDIGARH,9884,9554
53,BENGALURU,CHENNAI,45228,45574
54,BENGALURU,COIMBATORE,8587,9757
55,BENGALURU,"DEHRA DUN",2599,2155
56,BENGALURU,DELHI,179656,178576
57,BENGALURU,GOA,37547,38074
58,BENGALURU,GUWAHATI,15694,15363
59,BENGALURU,HUBLI,1726,1813
60,BENGALURU,HYDERABAD,93145,95638
61,BENGALURU,IMPHAL,120,151
62,BENGALURU,INDORE,4581,5321
63,BENGALURU,JAIPUR,22498,20515
64,BENGALURU,JAMMU,0,24
65,BENGALURU,JODHPUR,206,266
66,BENGALURU,KOCHI,45214,46443
67,BENGALURU,KOLKATA,68354,67326
68,BENGALURU,KOZHIKODE,3374,3155
69,BENGALURU,LUCKNOW,11113,11709
70,BENGALURU,MADURAI,2923,3026
71,BENGALURU,MANGALORE,24000,24556
72,BENGALURU,MUMBAI,153517,149173
73,BENGALURU,NAGPUR,8519,9006
74,BENGALURU,PATNA,19356,13199
75,BENGALURU,"PORT BLAIR",3228,3668
76,BENGALURU,PUNE,68325,68370
77,BENGALURU,RAIPUR,2310,1400
78,BENGALURU,RANCHI,11575,17808
79,BENGALURU,SILCHAR,371,228
80,BENGALURU,SRINAGAR,1578,1971
81,BENGALURU,TRIVANDRUM,22284,23311
82,BENGALURU,UDAIPUR,166,97
83,BENGALURU,VARANASI,7843,7187
84,BENGALURU,VIJAYAWADA,6991,6960
85,BENGALURU,VISAKHAPATNAM,17406,17564
86,BHATINDA,DELHI,438,540
87,BHAVNAGAR,MUMBAI,976,996
88,BHOPAL,DELHI,14278,14653
89,BHOPAL,LUCKNOW,1642,1179
90,BHOPAL,MUMBAI,12883,10642
91,BHOPAL,RAIPUR,1141,1925
92,BHUBANESWAR,BENGALURU,21506,22567
93,BHUBANESWAR,CHENNAI,2570,2342
94,BHUBANESWAR,COIMBATORE,198,225
95,BHUBANESWAR,DELHI,39488,42084
96,BHUBANESWAR,HYDERABAD,24411,22877
97,BHUBANESWAR,INDORE,119,0
98,BHUBANESWAR,KOLKATA,29038,28836
99,BHUBANESWAR,MADURAI,0,73
100,BHUBANESWAR,MUMBAI,19250,19513
101,BHUBANESWAR,RANCHI,3620,4024
102,BHUBANESWAR,VADODARA,0,117
103,BHUBANESWAR,VISAKHAPATNAM,888,1713
