S.No.,"CITY 1","CITY 2","PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2"
1,AGARTALA,CHENNAI,664,1234
2,"AGATTI ISLAND",KOCHI,1138,1084
3,AGRA,DELHI,0,49
4,AGRA,KHAJURAHO,444,0
5,AGRA,VARANASI,0,1054
6,AHMEDABAD,BENGALURU,28184,27290
7,AHMEDABAD,CHENNAI,21825,22674
8,AHMEDABAD,COIMBATORE,1146,0
9,AHMEDABAD,DELHI,81989,81766
10,AHMEDABAD,GOA,13074,13802
11,AHMEDABAD,GUWAHATI,1188,846
12,AHMEDABAD,HYDERABAD,14646,14388
13,AHMEDABAD,JAIPUR,4095,4018
14,AHMEDABAD,KOCHI,1994,1679
15,AHMEDABAD,KOLKATA,14920,14545
16,AHMEDABAD,LUCKNOW,5129,4521
17,AHMEDABAD,MUMBAI,89553,89725
18,AHMEDABAD,NAGPUR,393,329
19,AHMEDABAD,PUNE,17453,17421
20,AHMEDABAD,VISAKHAPATNAM,485,1185
21,AIZAWL,AHMEDABAD,32,13
22,AIZAWL,DELHI,675,378
23,AIZAWL,GUWAHATI,4750,3309
24,AIZAWL,IMPHAL,343,147
25,AIZAWL,KOLKATA,6774,5320
26,AMRITSAR,BENGALURU,208,193
27,AMRITSAR,CHENNAI,213,190
28,AMRITSAR,DELHI,37514,41548
29,AMRITSAR,MUMBAI,5673,6138
30,BAGDOGRA,CHENNAI,1907,2850
31,BELGAUM,JABALPUR,13,17
32,BENGALURU,AGARTALA,788,656
33,BENGALURU,BAGDOGRA,3684,2013
34,BENGALURU,BELGAUM,2208,2233
35,BENGALURU,CHANDIGARH,13856,14019
36,BENGALURU,CHENNAI,43761,43005
37,BENGALURU,COIMBATORE,6180,6405
38,BENGALURU,"DEHRA DUN",724,784
39,BENGALURU,DELHI,176753,170122
40,BENGALURU,GOA,39800,44343
41,BENGALURU,GUWAHATI,19382,18699
42,BENGALURU,HUBLI,952,1015
43,BENGALURU,HYDERABAD,74669,74035
44,BENGALURU,IMPHAL,0,149
45,BENGALURU,INDORE,5107,5382
46,BENGALURU,JAIPUR,24597,23485
47,BENGALURU,JODHPUR,216,370
48,BENGALURU,JORHAT,137,150
49,BENGALURU,KOCHI,34222,36648
50,BENGALURU,KOLKATA,71657,71794
51,BENGALURU,KOZHIKODE,1779,1845
52,BENGALURU,LUCKNOW,10199,10482
53,BENGALURU,MADURAI,1635,1653
54,BENGALURU,MANGALORE,14412,14029
55,BENGALURU,MUMBAI,151185,154711
56,BENGALURU,NAGPUR,7669,8291
57,BENGALURU,PATNA,13442,9375
58,BENGALURU,"PORT BLAIR",3955,4003
59,BENGALURU,PUNE,65330,67389
60,BENGALURU,RAIPUR,3821,4007
61,BENGALURU,RAJAHMUNDRY,1168,1014
62,BENGALURU,RAJKOT,250,217
63,BENGALURU,RANCHI,3324,8613
64,BENGALURU,SRINAGAR,710,452
65,BENGALURU,TRIVANDRUM,21449,27021
66,BENGALURU,VARANASI,6372,5474
67,BENGALURU,VIJAYAWADA,6730,6566
68,BENGALURU,VISAKHAPATNAM,22224,22187
69,BHATINDA,DELHI,406,528
70,BHAVNAGAR,MUMBAI,893,911
71,BHOPAL,DELHI,10820,10566
72,BHOPAL,JABALPUR,774,811
73,BHOPAL,MUMBAI,13167,11906
74,BHOPAL,RAIPUR,715,1506
75,BHUBANESWAR,BENGALURU,15038,14174
76,BHUBANESWAR,CHENNAI,2731,2156
77,BHUBANESWAR,COIMBATORE,391,256
78,BHUBANESWAR,DELHI,43968,42993
79,BHUBANESWAR,HYDERABAD,21074,23403
80,BHUBANESWAR,KOLKATA,21749,20571
81,BHUBANESWAR,MUMBAI,20491,20324
82,BHUBANESWAR,VARANASI,1453,1556
83,BHUBANESWAR,VISAKHAPATNAM,703,817
84,BHUJ,DELHI,455,422
85,BHUJ,MUMBAI,8975,8490
86,CHANDIGARH,CHENNAI,0,488
87,CHANDIGARH,LEH,410,1156
88,CHANDIGARH,PUNE,972,877
89,CHANDIGARH,SRINAGAR,4657,4706
90,CHENNAI,PUNE,39168,39945
91,CHENNAI,RAIPUR,1640,0
92,CHENNAI,RAJAHMUNDRY,1973,2231
93,CHENNAI,TIRUCHIRAPALLY,6689,7252
94,CHENNAI,TRIVANDRUM,9917,10271
95,CHENNAI,TUTICORIN,4589,4520
96,CHENNAI,VIJAYAWADA,3624,3841
97,CHENNAI,VISAKHAPATNAM,13200,12694
98,COIMBATORE,AGARTALA,77,13
99,COIMBATORE,CHENNAI,36729,33912
100,COIMBATORE,DELHI,11406,11172
101,COIMBATORE,HYDERABAD,18614,18374
102,COIMBATORE,TIRUPATI,542,556
103,COIMBATORE,VISAKHAPATNAM,357,332
104,"DEHRA DUN",CHENNAI,440,0
105,"DEHRA DUN",DELHI,27365,27276
106,"DEHRA DUN",HYDERABAD,483,793
107,"DEHRA DUN",MADURAI,3,0
108,"DEHRA DUN",SRINAGAR,0,493
109,DELHI,AGARTALA,2861,2404
110,DELHI,ALLAHABAD,1837,1736
111,DELHI,AURANGABAD,3174,3565
112,DELHI,BAGDOGRA,36286,32046
113,DELHI,CHANDIGARH,21339,20866
114,DELHI,CHENNAI,98276,102190
115,DELHI,DHARAMSALA,3587,3430
116,DELHI,DIBRUGARH,4913,3238
117,DELHI,DIMAPUR,652,989
118,DELHI,GAYA,3505,2780
119,DELHI,GOA,84067,87464
120,DELHI,GUWAHATI,57394,66768
121,DELHI,HYDERABAD,95390,101563
122,DELHI,IMPHAL,5437,7301
123,DELHI,INDORE,24744,26441
124,DELHI,JABALPUR,3861,3954
125,DELHI,JAIPUR,35465,34634
126,DELHI,JAMMU,27765,26288
127,DELHI,JODHPUR,10312,11195
128,DELHI,KANPUR,567,474
129,DELHI,KHAJURAHO,523,696
130,DELHI,KULLU,521,457
131,DELHI,LEH,6613,9791
132,DELHI,LUCKNOW,81535,79695
133,DELHI,MADURAI,937,1150
134,DELHI,MANGALORE,2151,2135
135,DELHI,NAGPUR,20778,22273
136,DELHI,PANTNAGAR,291,251
137,DELHI,PATNA,51387,55221
138,DELHI,"PORT BLAIR",4915,4691
139,DELHI,PUNE,101614,105872
140,DELHI,RAIPUR,19378,19866
141,DELHI,RAJKOT,1143,1209
142,DELHI,RANCHI,33795,31409
143,DELHI,SRINAGAR,28403,30170
144,DELHI,SURAT,9034,9204
145,DELHI,TIRUPATI,2346,2110
146,DELHI,TRIVANDRUM,16186,18001
147,DELHI,UDAIPUR,23984,24438
148,DELHI,VARANASI,43187,44143
149,DELHI,VIJAYAWADA,6411,6824
150,DELHI,VISAKHAPATNAM,13144,13904
151,DIBRUGARH,GUWAHATI,2667,1448
152,GAYA,VARANASI,385,0
153,GOA,CHENNAI,6574,6826
154,GOA,HYDERABAD,23288,20214
155,GOA,INDORE,4080,4169
156,GOA,LUCKNOW,912,1061
157,GOA,PUNE,7169,7475
158,GOA,RAIPUR,923,884
159,GOA,VARANASI,0,359
160,GUWAHATI,AGARTALA,8708,9450
161,GUWAHATI,BAGDOGRA,2952,9910
162,GUWAHATI,CHENNAI,10835,12052
163,GUWAHATI,GOA,870,806
164,GUWAHATI,HYDERABAD,1189,1219
165,GUWAHATI,IMPHAL,14659,15358
166,GUWAHATI,JAIPUR,1208,1210
167,GUWAHATI,JORHAT,1331,1230
168,GUWAHATI,LILABARI,202,282
169,GUWAHATI,LUCKNOW,1097,1161
170,GUWAHATI,SILCHAR,3758,3819
171,GUWAHATI,TEZPUR,16,25
172,HYDERABAD,AGARTALA,109,54
173,HYDERABAD,AURANGABAD,1594,1482
174,HYDERABAD,BAGDOGRA,0,476
175,HYDERABAD,CHENNAI,55581,52542
176,HYDERABAD,INDORE,7824,7976
177,HYDERABAD,JABALPUR,2409,2506
178,HYDERABAD,JAIPUR,7521,7576
179,HYDERABAD,LUCKNOW,5571,4998
180,HYDERABAD,MADURAI,2279,2311
181,HYDERABAD,MANGALORE,3008,2858
182,HYDERABAD,NAGPUR,568,505
183,HYDERABAD,"PORT BLAIR",956,940
184,HYDERABAD,PUNE,12821,13637
185,HYDERABAD,RAIPUR,6246,7918
186,HYDERABAD,RAJAHMUNDRY,8261,8430
